id,region,province,city,address,has_listo_para_comer,has_cafe_service
53,Comunidad Valenciana,Alicante,Alicante,"Avda. La Estación, 12",t,f
54,Comunidad Valenciana,Alicante,Albatera,"Avda. Hondo de los Frailes, 28",t,f
55,Comunidad Valenciana,Alicante,Alcoy,"C/ Santa Rosa, 7",t,f
56,Comunidad Valenciana,Alicante,Alcoy,"Avda. de la Hispanidad, 36",t,f
57,Comunidad Valenciana,Alicante,Almoradí,"Avda. Comunidad Europea, S/N",t,f
58,Comunidad Valenciana,Alicante,Altea,"C/ Síndic de Greuges, 39",t,f
59,Comunidad Valenciana,Alicante,Aspe,"Avda. Alcalde Carlos Carbonell, 67",t,f
60,Comunidad Valenciana,Alicante,Benidorm,"C/ Invierno, 11",t,f
61,Comunidad Valenciana,Alicante,Benidorm,"C/ Secretario Juan Antonio Baldoví, 9",t,f
62,Comunidad Valenciana,Alicante,Denia,"Av. Miguel Hernández, 23",t,f
63,Comunidad Valenciana,Alicante,Denia,"Paseo Saladar, S/N",t,f
64,Comunidad Valenciana,Alicante,Elx,"Av. Cortes Valencianas, S/N",t,f
65,Comunidad Valenciana,Alicante,Elx,"C/ Olegario Domarco Seller, 93",t,f
66,Comunidad Valenciana,Alicante,Torrevieja,"Av. Orihuela, S/N",t,f
67,Comunidad Valenciana,Alicante,Torrevieja,Ctra. de Crevillente - C/ Calaceite,t,f
68,Andalucía,Almería,Almería,"Av. Vega de Aca, S/N",t,f
69,Andalucía,Almería,Almería,"C/ Pilarica, S/N - Cno. Minor, S/N",t,f
70,Andalucía,Almería,Almería,"Plaza Barcelona, S/N",t,f
71,Andalucía,Almería,Berja,Av. Ramón y Cajal – Ctra. A Adra,t,f
72,Andalucía,Almería,Huercal de Almería,"Ctra. Campamento, 6",t,f
73,Andalucía,Almería,Roquetas de Mar,"Av. Cámara de Comercio, S/N",t,f
74,Andalucía,Almería,Roquetas de Mar,"Ctra. Alicún, S/N",t,f
75,Andalucía,Almería,Vera,"Av. Medina Azahara, 2",t,f
76,Andalucía,Cádiz,Algeciras,"C/ Misioneras Concepcionistas, 1",t,f
77,Andalucía,Cádiz,Algeciras,"Ctra. de Getares, S/N",t,f
78,Andalucía,Cádiz,Cádiz,"Av. de la Ilustración, 2",t,f
79,Andalucía,Cádiz,Chiclana de la Frontera,"Av. del Mueble, S/N",t,f
80,Andalucía,Cádiz,Jerez de la Frontera,"Av. Álvaro Domecq, 10",t,t
81,Andalucía,Cádiz,San Fernando,"C/ Real, 237",t,f
82,Andalucía,Sevilla,Sevilla,"C/ Virgen de Luján, 38",t,t
83,Andalucía,Sevilla,Sevilla,"C/ Luis Montoto, 122",t,f
84,Andalucía,Sevilla,Sevilla,"Av. de la Palmera, 37",t,f
85,Andalucía,Sevilla,Dos Hermanas,"Av. Juan Pablo II, S/N",t,f
86,Andalucía,Sevilla,Écija,"Av. Miguel de Cervantes, 21",t,f
87,Andalucía,Málaga,Málaga,"C/ Pacífico, 46",t,t
88,Andalucía,Málaga,Málaga,"Av. Juan XXIII, 4",t,f
89,Andalucía,Málaga,Marbella,"Av. Ricardo Soriano, 72",t,t
90,Andalucía,Málaga,Mijas,"Ctra. de Cádiz, Km 204",t,f
91,Andalucía,Granada,Granada,"C/ Arabial, S/N",t,t
92,Andalucía,Granada,Granada,"Av. de Andalucía, 18",t,f
93,Andalucía,Córdoba,Córdoba,"Av. del Brillante, 56",t,f
94,Andalucía,Córdoba,Córdoba,"C/ Cronista Rey Díaz, S/N",t,t
95,Comunidad de Madrid,Madrid,Madrid,"C/ Fuencarral, 161",t,t
96,Comunidad de Madrid,Madrid,Madrid,"C/ Alcalá, 411",t,f
97,Comunidad de Madrid,Madrid,Madrid,"C/ Princesa, 47",t,t
98,Comunidad de Madrid,Madrid,Madrid,"Av. de la Albufera, 35",t,f
99,Comunidad de Madrid,Madrid,Madrid,"C/ Hermanos García Noblejas, 47",t,f
100,Comunidad de Madrid,Madrid,Madrid,"C/ Bravo Murillo, 75",t,t
101,Comunidad de Madrid,Madrid,Alcalá de Henares,"Av. Juan de Austria, 4",t,f
102,Comunidad de Madrid,Madrid,Alcobendas,"C/ Vía de los Poblados, 3",t,t
103,Comunidad de Madrid,Madrid,Getafe,"C/ Madrid, 118",t,f
104,Comunidad de Madrid,Madrid,Leganés,"Av. Pablo Iglesias, 8",t,f
105,Comunidad de Madrid,Madrid,Móstoles,"Av. de las Américas, 37",t,f
106,Comunidad de Madrid,Madrid,Pozuelo de Alarcón,"C/ Pradillo, 4",t,t
107,Cataluña,Barcelona,Barcelona,"C/ Mallorca, 282",t,t
108,Cataluña,Barcelona,Barcelona,"Av. Diagonal, 427",t,t
109,Cataluña,Barcelona,Barcelona,"C/ Provença, 177",t,f
110,Cataluña,Barcelona,Barcelona,"Av. Meridiana, 350",t,f
111,Cataluña,Barcelona,Badalona,"C/ Prim, 89",t,f
112,Cataluña,Barcelona,L'Hospitalet de Llobregat,"Av. Isabel la Católica, 2",t,t
113,Cataluña,Barcelona,Sabadell,"C/ de la Salut, 76",t,f
114,Cataluña,Barcelona,Terrassa,"C/ Nou, 30",t,f
115,Cataluña,Girona,Girona,"C/ Barcelona, 112",t,f
116,Cataluña,Lleida,Lleida,"Av. Prat de la Riba, 56",t,f
117,Cataluña,Tarragona,Tarragona,"Av. Roma, 14",t,t
118,Comunidad Valenciana,Valencia,Valencia,"C/ Colón, 27",t,t
119,Comunidad Valenciana,Valencia,Valencia,"Av. del Cid, 56",t,f
120,Comunidad Valenciana,Valencia,Valencia,"C/ Jesús, 52",t,f
121,Comunidad Valenciana,Valencia,Valencia,"C/ Xàtiva, 14",t,t
122,Comunidad Valenciana,Valencia,Gandía,"C/ Beniopa, 6",t,f
123,Comunidad Valenciana,Castellón,Castellón de la Plana,"Av. de Lidón, 45",t,f
124,Aragón,Zaragoza,Zaragoza,"C/ Miguel Servet, 1",t,t
125,Aragón,Zaragoza,Zaragoza,"Av. Goya, 29",t,f
126,Aragón,Zaragoza,Zaragoza,"C/ Costa, 12",t,f
127,Aragón,Huesca,Huesca,"C/ Zaragoza, 4",t,f
128,Región de Murcia,Murcia,Murcia,"Av. Juan Carlos I, 31",t,t
129,Región de Murcia,Murcia,Murcia,"C/ Floridablanca, 1",t,f
130,Región de Murcia,Murcia,Cartagena,"C/ Real, 12",t,f
131,Región de Murcia,Murcia,Lorca,"Av. Juan Carlos I, 60",t,f
132,Castilla y León,Valladolid,Valladolid,"C/ Gamazo, 7",t,t
133,Castilla y León,Valladolid,Valladolid,"C/ Paseo Zorrilla, 100",t,f
134,Castilla y León,Burgos,Burgos,"C/ Vitoria, 21",t,f
135,Castilla y León,Salamanca,Salamanca,"C/ Paseo de Canalejas, 49",t,t
136,Castilla y León,León,León,"C/ Ordoño II, 20",t,f
137,Extremadura,Badajoz,Badajoz,"Av. de Huelva, 3",t,f
138,Extremadura,Cáceres,Cáceres,"Av. del Rodeo, 7",t,f
139,La Rioja,La Rioja,Logroño,"C/ Vara de Rey, 71",t,t
140,La Rioja,La Rioja,Logroño,"Av. de la Paz, 22",t,f
141,Comunidad Foral de Navarra,Navarra,Pamplona,"C/ San Nicolás, 5",t,t
142,Comunidad Foral de Navarra,Navarra,Pamplona,"C/ Esquíroz, 29",t,f
143,Cantabria,Cantabria,Santander,"C/ Tetuán, 16",t,t
144,Cantabria,Cantabria,Santander,"Av. de Los Castros, 5",t,f
145,Principado de Asturias,Asturias,Oviedo,"C/ Uría, 40",t,t
146,Principado de Asturias,Asturias,Gijón,"C/ Corrida, 26",t,t
147,Principado de Asturias,Asturias,Avilés,"C/ La Cámara, 25",t,f
148,Illes Balears,Baleares,Palma,"Av. Joan Miró, 17",t,t
149,Illes Balears,Baleares,Palma,"C/ Arxiduc Lluís Salvador, 15",t,f
150,Illes Balears,Baleares,Ibiza,"Av. Isidor Macabich, 40",t,t
151,Comunidad Valenciana,Valencia,Valencia,"Bulevar Pino, 52",f,f
152,Comunidad Valenciana,Valencia,Valencia,"C/ Trabajo, 63",f,f
153,Comunidad Valenciana,Valencia,Valencia,"Calle Doctor Marañón, 135",f,f
154,Comunidad Valenciana,Valencia,Valencia,"C/ Andalucía, 181",t,t
155,Comunidad Valenciana,Valencia,Valencia,"C/ Periodista, 193",f,f
156,Comunidad Valenciana,Valencia,Valencia,"C/ Trabajo, 55",f,f
157,Comunidad Valenciana,Valencia,Valencia,"Calle Pintor Sorolla, 107",f,f
158,Comunidad Valenciana,Valencia,Valencia,"C/ Río Segura, 100",t,f
159,Comunidad Valenciana,Valencia,Valencia,"Calle Doctor Gregorio Marañón, 107",t,f
160,Comunidad Valenciana,Valencia,Valencia,"Paseo Paz, 53",t,f
161,Comunidad Valenciana,Valencia,Valencia,"C/ Fuente, 130",t,f
162,Comunidad Valenciana,Valencia,Valencia,"Paseo África, 29",t,f
163,Comunidad Valenciana,Valencia,Valencia,"C/ Victoria, 119",f,f
164,Comunidad Valenciana,Valencia,Valencia,"Plaza América, 161",t,f
165,Comunidad Valenciana,Valencia,Valencia,"Calle Río Ebro, 182",f,f
166,Comunidad Valenciana,Valencia,Valencia,"C/ Maestro Falla, 179",f,t
167,Comunidad Valenciana,Valencia,Valencia,"C/ Galicia, 176",t,f
168,Comunidad Valenciana,Valencia,Valencia,"C/ Constitución, 39",f,f
169,Comunidad Valenciana,Valencia,Valencia,"C/ Federico García Lorca, 51",f,f
170,Comunidad Valenciana,Valencia,Valencia,"Plaza Asia, 68",f,f
171,Comunidad Valenciana,Valencia,Valencia,"Paseo Mar, 19",t,f
172,Comunidad Valenciana,Valencia,Valencia,"Bulevar Teniente Coronel, 188",t,t
173,Comunidad Valenciana,Valencia,Valencia,"C/ Mar, 100",t,f
174,Comunidad Valenciana,Valencia,Valencia,"Calle San Juan, 193",f,f
175,Comunidad Valenciana,Valencia,Valencia,"Bulevar Maestro Rodrigo, 140",f,f
176,Comunidad Valenciana,Valencia,Valencia,"Avda. Gran Vía, 59",t,t
177,Comunidad Valenciana,Valencia,Valencia,"C/ Escultor Benlliure, 158",f,f
178,Comunidad Valenciana,Valencia,Valencia,"C/ Victoria, 125",f,f
179,Comunidad Valenciana,Valencia,Valencia,"C/ Alfonso XIII, 33",f,f
180,Comunidad Valenciana,Valencia,Valencia,"Bulevar Cataluña, 155",f,f
181,Comunidad Valenciana,Valencia,Valencia,"Ronda Federico Chopin, 140",f,t
182,Comunidad Valenciana,Valencia,Valencia,"C/ Mayor, 47",t,f
183,Comunidad Valenciana,Valencia,Valencia,"Bulevar Maestro Rodrigo, 159",f,f
184,Comunidad Valenciana,Valencia,Valencia,"C/ Príncipe, 48",f,f
185,Comunidad Valenciana,Valencia,Valencia,"Plaza Escultor Benlliure, 113",f,f
186,Comunidad Valenciana,Valencia,Valencia,"C/ Santa Teresa, 151",f,f
187,Comunidad Valenciana,Valencia,Valencia,"Bulevar Abogado, 35",f,f
188,Comunidad Valenciana,Valencia,Valencia,"Paseo Mar, 193",t,f
189,Comunidad Valenciana,Valencia,Valencia,"C/ Gran Vía, 86",f,f
190,Comunidad Valenciana,Valencia,Valencia,"Ronda Doctor Marañón, 169",f,f
191,Comunidad Valenciana,Valencia,Valencia,"Plaza Aragón, 128",f,t
192,Comunidad Valenciana,Valencia,Valencia,"Calle España, 131",t,f
193,Comunidad Valenciana,Valencia,Valencia,"C/ Maestra Justa, 188",t,f
194,Comunidad Valenciana,Valencia,Valencia,"Avda. Poeta Lorca, 18",f,t
195,Comunidad Valenciana,Valencia,Valencia,"C/ Río Guadalquivir, 79",f,f
196,Comunidad Valenciana,Valencia,Valencia,"C/ San Pedro, 120",f,f
197,Comunidad Valenciana,Valencia,Valencia,"Bulevar Río Segura, 41",t,t
198,Comunidad Valenciana,Valencia,Valencia,"Calle Doctor Gregorio Marañón, 163",f,f
199,Comunidad Valenciana,Valencia,Valencia,"Avda. Colón, 169",f,t
200,Comunidad Valenciana,Valencia,Valencia,"C/ Paz, 31",t,f
201,Comunidad Valenciana,Valencia,Valencia,"C/ Luna, 146",f,f
202,Comunidad Valenciana,Valencia,Valencia,"Bulevar Notario, 179",t,f
203,Comunidad Valenciana,Valencia,Valencia,"C/ Constitución, 132",t,f
204,Comunidad Valenciana,Valencia,Valencia,"Bulevar Doctor Severo Ochoa, 115",f,f
205,Comunidad Valenciana,Valencia,Valencia,"C/ Aragón, 196",t,f
206,Comunidad Valenciana,Valencia,Valencia,"Bulevar San Juan, 116",f,f
207,Comunidad Valenciana,Valencia,Torrent,"Calle Aviación, 134",t,f
208,Comunidad Valenciana,Valencia,Torrent,"Calle Paz, 108",f,f
209,Comunidad Valenciana,Valencia,Torrent,"C/ Maestro Rodrigo, 176",f,f
210,Comunidad Valenciana,Valencia,Torrent,"Ronda Colón, 65",f,f
211,Comunidad Valenciana,Valencia,Torrent,"C/ Doctor Severo Ochoa, 133",t,f
212,Comunidad Valenciana,Valencia,Torrent,"Ronda Calvo Sotelo, 196",t,f
213,Comunidad Valenciana,Valencia,Torrent,"Bulevar Naranjo, 76",t,f
214,Comunidad Valenciana,Valencia,Torrent,"C/ Federico Chopin, 123",f,f
215,Comunidad Valenciana,Valencia,Torrent,"Bulevar General Perón, 97",f,f
216,Comunidad Valenciana,Valencia,Gandia,"Avda. Doctor Gregorio Marañón, 157",t,f
217,Comunidad Valenciana,Valencia,Gandia,"Avda. Galicia, 66",t,f
218,Comunidad Valenciana,Valencia,Gandia,"C/ Maestra Justa, 134",t,f
219,Comunidad Valenciana,Valencia,Gandia,"Paseo Antonio Machado, 50",f,f
220,Comunidad Valenciana,Valencia,Gandia,"Avda. Príncipe, 32",t,f
221,Comunidad Valenciana,Valencia,Paterna,"Bulevar General Perón, 26",t,f
222,Comunidad Valenciana,Valencia,Paterna,"C/ Roble, 167",f,f
223,Comunidad Valenciana,Valencia,Paterna,"Paseo Maestro Falla, 28",f,f
224,Comunidad Valenciana,Valencia,Paterna,"Calle Pintor Sorolla, 180",t,f
225,Comunidad Valenciana,Valencia,Paterna,"C/ Libertad, 155",t,t
226,Comunidad Valenciana,Valencia,Paterna,"C/ Antonio Machado, 130",f,f
227,Comunidad Valenciana,Valencia,Burjassot,"Ronda Jovellanos, 180",f,f
228,Comunidad Valenciana,Valencia,Burjassot,"C/ Jovellanos, 173",f,f
229,Comunidad Valenciana,Valencia,Burjassot,"Bulevar Maestro Rodrigo, 29",f,f
230,Comunidad Valenciana,Valencia,Burjassot,"C/ Reina, 40",t,f
231,Comunidad Valenciana,Valencia,Mislata,"Plaza Maestro Rodrigo, 149",f,f
232,Comunidad Valenciana,Valencia,Mislata,"C/ Maestro Falla, 73",t,f
233,Comunidad Valenciana,Valencia,Mislata,"Plaza Escultor Benlliure, 93",f,f
234,Comunidad Valenciana,Valencia,Mislata,"C/ Ramón y Cajal, 130",f,f
235,Comunidad Valenciana,Valencia,Xàtiva,"C/ Poeta Machado, 120",t,t
236,Comunidad Valenciana,Valencia,Xàtiva,"Avda. Doctor Gregorio Marañón, 13",t,f
237,Comunidad Valenciana,Valencia,Xàtiva,"Avda. Notario, 22",f,f
238,Comunidad Valenciana,Valencia,Alzira,"Ronda Maestro Rodrigo, 192",f,f
239,Comunidad Valenciana,Valencia,Alzira,"Calle General Mola, 132",f,f
240,Comunidad Valenciana,Valencia,Alzira,"Bulevar Independencia, 174",t,f
241,Comunidad Valenciana,Valencia,Alzira,"Plaza Farmacéutico, 63",t,f
242,Comunidad Valenciana,Valencia,Manises,"C/ Calvo Sotelo, 160",f,f
243,Comunidad Valenciana,Valencia,Manises,"Calle San José, 39",t,t
244,Comunidad Valenciana,Valencia,Manises,"Calle Río Turia, 51",t,f
245,Comunidad Valenciana,Valencia,Catarroja,"C/ Castelar, 26",f,f
246,Comunidad Valenciana,Valencia,Catarroja,"Paseo Colón, 106",t,t
247,Comunidad Valenciana,Valencia,Catarroja,"Calle España, 116",f,f
248,Comunidad Valenciana,Valencia,Sagunt,"Calle África, 116",t,f
249,Comunidad Valenciana,Valencia,Sagunt,"Bulevar Industria, 106",f,f
250,Comunidad Valenciana,Valencia,Sagunt,"C/ Jovellanos, 30",f,f
251,Comunidad Valenciana,Valencia,Sagunt,"Paseo Conde, 102",f,f
252,Comunidad Valenciana,Valencia,Sueca,"Plaza Teniente Coronel, 164",f,t
253,Comunidad Valenciana,Valencia,Sueca,"C/ Alcalá, 95",f,f
254,Comunidad Valenciana,Valencia,Quart de Poblet,"Calle Rey, 156",f,f
255,Comunidad Valenciana,Valencia,Quart de Poblet,"C/ General Perón, 105",f,f
256,Comunidad Valenciana,Valencia,Quart de Poblet,"C/ Alcalá, 5",t,f
257,Comunidad Valenciana,Valencia,Alfafar,"Paseo Castelar, 193",t,t
258,Comunidad Valenciana,Valencia,Alfafar,"C/ Olivo, 16",t,f
259,Comunidad Valenciana,Valencia,Algemesí,"Ronda Naranjo, 200",t,f
260,Comunidad Valenciana,Valencia,Algemesí,"C/ Gloria, 92",t,f
261,Comunidad Valenciana,Valencia,Aldaia,"Calle Gloria, 4",f,f
262,Comunidad Valenciana,Valencia,Aldaia,"Ronda Poeta Lorca, 115",f,f
263,Comunidad Valenciana,Valencia,Puçol,"C/ San Juan, 69",f,f
264,Comunidad Valenciana,Valencia,Puçol,"C/ San Pedro, 113",t,f
265,Comunidad Valenciana,Valencia,Llíria,"Avda. Infanta, 21",f,t
266,Comunidad Valenciana,Valencia,Llíria,"C/ Federico García Lorca, 42",f,f
267,Comunidad Valenciana,Valencia,Cullera,"C/ Reina, 105",f,f
268,Comunidad Valenciana,Valencia,Cullera,"Paseo Comercio, 193",f,f
269,Comunidad Valenciana,Valencia,Alaquàs,"C/ Esperanza, 93",f,f
270,Comunidad Valenciana,Valencia,Alaquàs,"C/ Periodista, 186",t,f
271,Comunidad Valenciana,Valencia,Meliana,"C/ Maestro Falla, 112",f,f
272,Comunidad Valenciana,Valencia,Paiporta,"Plaza Valencia, 164",t,f
273,Comunidad Valenciana,Valencia,Paiporta,"C/ África, 38",t,f
274,Comunidad Valenciana,Alicante,Alicante,"Calle Conde, 32",f,t
275,Comunidad Valenciana,Alicante,Alicante,"C/ Infanta, 27",f,f
276,Comunidad Valenciana,Alicante,Alicante,"Bulevar Valencia, 105",f,f
277,Comunidad Valenciana,Alicante,Alicante,"Plaza Río Segura, 147",t,f
278,Comunidad Valenciana,Alicante,Alicante,"C/ Miguel Hernández, 57",f,f
279,Comunidad Valenciana,Alicante,Alicante,"Paseo Mayor, 131",f,f
280,Comunidad Valenciana,Alicante,Alicante,"C/ Cedro, 191",f,f
281,Comunidad Valenciana,Alicante,Alicante,"Bulevar Naranjo, 60",t,f
282,Comunidad Valenciana,Alicante,Alicante,"Bulevar Poeta Lorca, 161",f,f
283,Comunidad Valenciana,Alicante,Alicante,"Calle Industria, 179",t,f
284,Comunidad Valenciana,Alicante,Alicante,"C/ Río Guadalquivir, 5",f,f
285,Comunidad Valenciana,Alicante,Alicante,"Plaza Sol, 165",t,f
286,Comunidad Valenciana,Alicante,Alicante,"Avda. Primo de Rivera, 124",f,f
287,Comunidad Valenciana,Alicante,Alicante,"C/ Aviación, 185",t,t
288,Comunidad Valenciana,Alicante,Alicante,"C/ Federico García Lorca, 139",f,f
289,Comunidad Valenciana,Alicante,Alicante,"Bulevar Maestro Falla, 128",f,f
290,Comunidad Valenciana,Alicante,Alicante,"C/ Castelar, 22",t,f
291,Comunidad Valenciana,Alicante,Alicante,"Ronda Río Segura, 80",f,f
292,Comunidad Valenciana,Alicante,Alicante,"Calle Duque, 48",f,f
293,Comunidad Valenciana,Alicante,Alicante,"Plaza Federico García Lorca, 132",f,t
294,Comunidad Valenciana,Alicante,Alicante,"Paseo Almendro, 44",f,f
295,Comunidad Valenciana,Alicante,Elche,"Avda. Europa, 36",f,f
296,Comunidad Valenciana,Alicante,Elche,"C/ Gran Vía, 27",t,f
297,Comunidad Valenciana,Alicante,Elche,"Ronda Paz, 153",f,f
298,Comunidad Valenciana,Alicante,Elche,"Plaza Mar, 3",t,f
299,Comunidad Valenciana,Alicante,Elche,"Calle Santa María, 197",f,t
300,Comunidad Valenciana,Alicante,Elche,"Ronda Abogado, 194",f,f
301,Comunidad Valenciana,Alicante,Elche,"Ronda Mar, 117",t,f
302,Comunidad Valenciana,Alicante,Elche,"Avda. Castelar, 173",f,f
303,Comunidad Valenciana,Alicante,Elche,"Calle Comercio, 64",f,f
304,Comunidad Valenciana,Alicante,Elche,"C/ Jovellanos, 99",f,t
305,Comunidad Valenciana,Alicante,Elche,"C/ Mayor, 77",f,f
306,Comunidad Valenciana,Alicante,Torrevieja,"C/ Conde, 88",f,f
307,Comunidad Valenciana,Alicante,Torrevieja,"C/ Colón, 166",t,f
308,Comunidad Valenciana,Alicante,Torrevieja,"Calle Poeta Nicolás Guillén, 159",f,f
309,Comunidad Valenciana,Alicante,Torrevieja,"C/ Valencia, 60",t,f
310,Comunidad Valenciana,Alicante,Torrevieja,"C/ Rey, 133",f,f
311,Comunidad Valenciana,Alicante,Orihuela,"C/ Cataluña, 10",f,f
312,Comunidad Valenciana,Alicante,Orihuela,"Paseo Santa Ana, 17",t,f
313,Comunidad Valenciana,Alicante,Orihuela,"Bulevar Fuente, 196",f,t
314,Comunidad Valenciana,Alicante,Orihuela,"Bulevar Farmacéutico, 26",f,f
315,Comunidad Valenciana,Alicante,Orihuela,"Calle Conde, 59",t,f
316,Comunidad Valenciana,Alicante,Benidorm,"Calle Calvo Sotelo, 16",f,f
317,Comunidad Valenciana,Alicante,Benidorm,"Calle América, 21",t,f
318,Comunidad Valenciana,Alicante,Benidorm,"C/ Calvo Sotelo, 79",f,f
319,Comunidad Valenciana,Alicante,Benidorm,"Paseo Doctor Marañón, 92",f,t
320,Comunidad Valenciana,Alicante,Villena,"C/ Beethoven, 133",t,f
321,Comunidad Valenciana,Alicante,Villena,"Plaza Federico Chopin, 149",f,f
322,Comunidad Valenciana,Alicante,Villena,"Avda. Isabel II, 7",t,f
323,Comunidad Valenciana,Alicante,Villena,"Bulevar Cedro, 199",t,f
324,Comunidad Valenciana,Alicante,Elda,"C/ Aviación, 10",f,f
325,Comunidad Valenciana,Alicante,Elda,"Paseo Doctor Fleming, 15",t,f
326,Comunidad Valenciana,Alicante,Elda,"Avda. Real, 110",t,f
327,Comunidad Valenciana,Alicante,Elda,"Avda. Valencia, 167",f,f
328,Comunidad Valenciana,Alicante,Petrer,"Bulevar Cervantes, 123",f,f
329,Comunidad Valenciana,Alicante,Petrer,"Paseo Santa María, 133",t,f
330,Comunidad Valenciana,Alicante,Petrer,"C/ Conde, 163",f,f
331,Comunidad Valenciana,Alicante,Novelda,"C/ Colón, 76",f,f
332,Comunidad Valenciana,Alicante,Novelda,"C/ Poeta Machado, 93",f,f
333,Comunidad Valenciana,Alicante,Novelda,"Bulevar Conde, 15",f,t
334,Comunidad Valenciana,Alicante,Alcoy,"Calle Jovellanos, 94",t,t
335,Comunidad Valenciana,Alicante,Alcoy,"C/ Abogado, 135",f,f
336,Comunidad Valenciana,Alicante,Alcoy,"C/ Luna, 192",f,f
337,Comunidad Valenciana,Alicante,Denia,"C/ Constitución, 27",f,f
338,Comunidad Valenciana,Alicante,Denia,"C/ Poeta Lorca, 62",t,f
339,Comunidad Valenciana,Alicante,Denia,"Plaza Poeta Lorca, 66",t,f
340,Comunidad Valenciana,Alicante,Calpe,"C/ América, 145",f,f
341,Comunidad Valenciana,Alicante,Calpe,"Bulevar Generalísimo, 128",f,f
