invoice_id,sale_id,delivery_id,customer_id,invoice_date,subtotal_net,tax_breakdown,tax_amount,total_gross,due_date,payment_days,payment_status,payment_date
FAC-2024-0000043,SO-2024-0000043,ALB-2024-0000025,CUST_ABF3FEC21BBE,2024-01-12,17.78,"{'4%': 0.47, '10%': 0.0, '21%': 1.24}",1.71,19.49,2024-01-27,15,pending,
FAC-2024-0000044,SO-2024-0000044,,CUST_413530A900AD,2024-01-10,16.89,"{'4%': 0.07, '10%': 0.71, '21%': 1.68}",2.46,19.35,2024-01-10,0,paid,2024-01-10
FAC-2024-0000045,SO-2024-0000045,ALB-2024-0000026,CUST_55FA458F1F19,2024-01-11,21.49,"{'4%': 0.0, '10%': 2.15, '21%': 0.0}",2.15,23.64,2024-01-11,0,paid,2024-01-11
FAC-2024-0000046,SO-2024-0000046,ALB-2024-0000027,CUST_49A2F7E8F8E5,2024-01-13,25.97,"{'4%': 0.14, '10%': 0.39, '21%': 3.91}",4.44,30.41,2024-01-13,0,paid,2024-01-13
FAC-2024-0000047,SO-2024-0000047,ALB-2024-0000028,CUST_04AA5CA0C428,2024-01-11,108.52,"{'4%': 1.37, '10%': 5.31, '21%': 4.45}",11.13,119.65,2024-02-10,30,pending,
FAC-2024-0000048,SO-2024-0000048,,CUST_70E704D9145E,2024-01-10,46.12,"{'4%': 0.29, '10%': 0.78, '21%': 6.54}",7.61,53.73,2024-01-10,0,paid,2024-01-11
FAC-2024-0000049,SO-2024-0000049,ALB-2024-0000029,CUST_501B5EE68495,2024-01-14,17.06,"{'4%': 0.05, '10%': 0.0, '21%': 3.3}",3.35,20.41,2024-01-29,15,pending,
FAC-2024-0000050,SO-2024-0000050,ALB-2024-0000030,CUST_4BB0B27C4026,2024-01-15,22.2,"{'4%': 0.6, '10%': 0.71, '21%': 0.0}",1.31,23.51,2024-01-15,0,paid,2024-01-16
FAC-2024-0000051,SO-2024-0000051,ALB-2024-0000031,CUST_E8DD1712FB16,2024-01-13,31.66,"{'4%': 0.0, '10%': 1.61, '21%': 3.27}",4.88,36.54,2024-01-13,0,paid,2024-01-14
FAC-2024-0000052,SO-2024-0000052,ALB-2024-0000032,CUST_E709329FC417,2024-01-12,25.12,"{'4%': 0.11, '10%': 1.66, '21%': 1.19}",2.96,28.08,2024-01-12,0,paid,2024-01-13
FAC-2024-0000053,SO-2024-0000053,ALB-2024-0000033,CUST_64DEE82C7D7B,2024-01-17,123.69,"{'4%': 4.13, '10%': 0.8, '21%': 2.64}",7.57,131.26,2024-01-17,0,paid,2024-01-17
FAC-2024-0000054,SO-2024-0000054,ALB-2024-0000034,CUST_5EFED8DDBBC0,2024-01-14,71.86,"{'4%': 0.75, '10%': 1.98, '21%': 7.02}",9.75,81.61,2024-01-29,15,pending,
FAC-2024-0000055,SO-2024-0000055,ALB-2024-0000035,CUST_89EC98CBAA52,2024-01-15,29.25,"{'4%': 0.28, '10%': 0.44, '21%': 3.78}",4.5,33.75,2024-01-15,0,paid,2024-01-16
FAC-2024-0000056,SO-2024-0000056,ALB-2024-0000036,CUST_C60161FA01BA,2024-01-15,17.79,"{'4%': 0.11, '10%': 1.39, '21%': 0.23}",1.73,19.52,2024-01-15,0,paid,2024-01-16
FAC-2024-0000057,SO-2024-0000057,,CUST_008D610461E3,2024-01-13,62.22,"{'4%': 2.42, '10%': 0.18, '21%': 0.0}",2.6,64.82,2024-01-13,0,paid,2024-01-13
FAC-2024-0000058,SO-2024-0000058,ALB-2024-0000037,CUST_6DAA8861FE18,2024-01-15,12.04,"{'4%': 0.18, '10%': 0.37, '21%': 0.81}",1.36,13.4,2024-01-15,0,paid,2024-01-15
FAC-2024-0000059,SO-2024-0000059,ALB-2024-0000038,CUST_E8DD1712FB16,2024-01-15,20.61,"{'4%': 0.0, '10%': 1.68, '21%': 0.8}",2.48,23.09,2024-01-15,0,paid,2024-01-16
FAC-2024-0000060,SO-2024-0000060,ALB-2024-0000039,CUST_A9AB1777E8CB,2024-01-16,17.39,"{'4%': 0.21, '10%': 0.25, '21%': 2.01}",2.47,19.86,2024-01-16,0,paid,2024-01-16
FAC-2024-0000061,SO-2024-0000061,ALB-2024-0000040,CUST_AE5E72EB7474,2024-01-16,40.06,"{'4%': 0.55, '10%': 1.02, '21%': 3.39}",4.96,45.02,2024-01-16,0,paid,2024-01-16
FAC-2024-0000062,SO-2024-0000062,,CUST_F4E7A4540937,2024-01-13,49.35,"{'4%': 0.56, '10%': 0.72, '21%': 5.94}",7.22,56.57,2024-01-28,15,pending,
FAC-2024-0000063,SO-2024-0000063,ALB-2024-0000041,CUST_6FFFB2DC6C34,2024-01-15,48.56,"{'4%': 0.0, '10%': 2.97, '21%': 3.96}",6.93,55.49,2024-01-15,0,paid,2024-01-15
FAC-2024-0000064,SO-2024-0000064,ALB-2024-0000042,CUST_D37445712959,2024-01-17,59.95,"{'4%': 0.31, '10%': 4.04, '21%': 2.48}",6.83,66.78,2024-01-17,0,paid,2024-01-18
FAC-2024-0000065,SO-2024-0000065,ALB-2024-0000043,CUST_AB0B15F0EA19,2024-01-15,57.78,"{'4%': 0.43, '10%': 4.14, '21%': 1.17}",5.74,63.52,2024-01-15,0,paid,2024-01-16
FAC-2024-0000066,SO-2024-0000066,ALB-2024-0000044,CUST_95D8FF37D19C,2024-01-19,82.69,"{'4%': 0.42, '10%': 6.54, '21%': 1.44}",8.4,91.09,2024-01-19,0,paid,2024-01-19
FAC-2024-0000067,SO-2024-0000067,ALB-2024-0000045,CUST_5EFED8DDBBC0,2024-01-17,81.73,"{'4%': 1.07, '10%': 0.88, '21%': 9.71}",11.66,93.39,2024-02-01,15,pending,
FAC-2024-0000068,SO-2024-0000068,ALB-2024-0000046,CUST_14F9FA207403,2024-01-18,98.64,"{'4%': 0.99, '10%': 4.51, '21%': 6.06}",11.56,110.2,2024-01-18,0,paid,2024-01-19
FAC-2024-0000069,SO-2024-0000069,ALB-2024-0000047,CUST_7DE36694C343,2024-01-17,23.13,"{'4%': 0.18, '10%': 0.91, '21%': 1.98}",3.07,26.2,2024-01-17,0,paid,2024-01-18
FAC-2024-0000070,SO-2024-0000070,ALB-2024-0000048,CUST_93D551A3AC26,2024-01-18,84.91,"{'4%': 0.4, '10%': 0.5, '21%': 14.66}",15.56,100.47,2024-02-02,15,pending,
FAC-2024-0000071,SO-2024-0000071,ALB-2024-0000049,CUST_0A32373AEDF8,2024-01-18,79.49,"{'4%': 0.4, '10%': 2.71, '21%': 8.89}",12.0,91.49,2024-01-18,0,paid,2024-01-19
FAC-2024-0000072,SO-2024-0000072,ALB-2024-0000050,CUST_6DAA8861FE18,2024-01-20,16.76,"{'4%': 0.0, '10%': 0.0, '21%': 3.52}",3.52,20.28,2024-01-20,0,paid,2024-01-20
FAC-2024-0000073,SO-2024-0000073,,CUST_B3EE5A104129,2024-01-16,32.26,"{'4%': 0.68, '10%': 0.0, '21%': 3.19}",3.87,36.13,2024-01-16,0,paid,2024-01-17
FAC-2024-0000074,SO-2024-0000074,ALB-2024-0000051,CUST_99181497D658,2024-01-18,46.3,"{'4%': 0.09, '10%': 2.44, '21%': 4.14}",6.67,52.97,2024-01-18,0,paid,2024-01-18
FAC-2024-0000075,SO-2024-0000075,,CUST_80BB6EC01269,2024-01-16,42.31,"{'4%': 0.83, '10%': 0.75, '21%': 2.95}",4.53,46.84,2024-01-31,15,pending,
FAC-2024-0000076,SO-2024-0000076,ALB-2024-0000052,CUST_DD920DB977A9,2024-01-19,28.23,"{'4%': 0.46, '10%': 1.01, '21%': 1.41}",2.88,31.11,2024-01-19,0,paid,2024-01-19
FAC-2024-0000077,SO-2024-0000077,,CUST_BE05965BEFDF,2024-01-17,45.19,"{'4%': 0.62, '10%': 2.37, '21%': 1.27}",4.26,49.45,2024-01-17,0,paid,2024-01-18
FAC-2024-0000078,SO-2024-0000078,ALB-2024-0000053,CUST_A2119FD34579,2024-01-18,78.09,"{'4%': 0.65, '10%': 5.08, '21%': 2.34}",8.07,86.16,2024-01-18,0,paid,2024-01-18
FAC-2024-0000079,SO-2024-0000079,,CUST_284C27D415B6,2024-01-17,77.1,"{'4%': 0.46, '10%': 4.97, '21%': 3.32}",8.75,85.85,2024-01-17,0,paid,2024-01-18
FAC-2024-0000080,SO-2024-0000080,ALB-2024-0000054,CUST_668C0B95017C,2024-01-19,61.9,"{'4%': 0.3, '10%': 3.35, '21%': 4.37}",8.02,69.92,2024-01-19,0,paid,2024-01-20
FAC-2024-0000081,SO-2024-0000081,,CUST_4A94CC351E4F,2024-01-17,39.33,"{'4%': 0.32, '10%': 2.74, '21%': 0.85}",3.91,43.24,2024-02-01,15,pending,
FAC-2024-0000082,SO-2024-0000082,,CUST_CC393B5AE288,2024-01-17,104.39,"{'4%': 1.82, '10%': 3.81, '21%': 4.37}",10.0,114.39,2024-01-17,0,paid,2024-01-17
FAC-2024-0000083,SO-2024-0000083,ALB-2024-0000055,CUST_1CDC62C965B2,2024-01-20,81.89,"{'4%': 0.69, '10%': 4.4, '21%': 4.36}",9.45,91.34,2024-01-20,0,paid,2024-01-20
FAC-2024-0000084,SO-2024-0000084,,CUST_E709329FC417,2024-01-17,29.18,"{'4%': 0.0, '10%': 1.67, '21%': 2.62}",4.29,33.47,2024-01-17,0,paid,2024-01-17
FAC-2024-0000085,SO-2024-0000085,,CUST_D3636F81CF4F,2024-01-18,29.87,"{'4%': 0.61, '10%': 0.0, '21%': 3.08}",3.69,33.56,2024-01-18,0,paid,2024-01-19
FAC-2024-0000086,SO-2024-0000086,,CUST_8E038E969227,2024-01-18,53.43,"{'4%': 0.09, '10%': 3.49, '21%': 3.43}",7.01,60.44,2024-01-18,0,paid,2024-01-18
FAC-2024-0000087,SO-2024-0000087,ALB-2024-0000056,CUST_0E61171B1B80,2024-01-20,34.32,"{'4%': 0.0, '10%': 3.43, '21%': 0.0}",3.43,37.75,2024-01-20,0,paid,2024-01-20
FAC-2024-0000088,SO-2024-0000088,ALB-2024-0000057,CUST_008D610461E3,2024-01-22,55.57,"{'4%': 0.2, '10%': 1.61, '21%': 7.22}",9.03,64.6,2024-01-22,0,paid,2024-01-23
FAC-2024-0000089,SO-2024-0000089,ALB-2024-0000058,CUST_9C100F6B40D0,2024-01-23,25.48,"{'4%': 0.27, '10%': 0.18, '21%': 3.57}",4.02,29.5,2024-01-23,0,paid,2024-01-23
FAC-2024-0000090,SO-2024-0000090,ALB-2024-0000059,CUST_5C0BA757CB10,2024-01-23,50.79,"{'4%': 0.27, '10%': 0.9, '21%': 7.35}",8.52,59.31,2024-01-23,0,paid,2024-01-23
FAC-2024-0000091,SO-2024-0000091,,CUST_42D951976E75,2024-01-19,35.83,"{'4%': 0.0, '10%': 3.17, '21%': 0.86}",4.03,39.86,2024-01-19,0,paid,2024-01-19
FAC-2024-0000092,SO-2024-0000092,ALB-2024-0000060,CUST_585A7BFDCC12,2024-01-23,53.15,"{'4%': 0.83, '10%': 1.31, '21%': 4.06}",6.2,59.35,2024-01-23,0,paid,2024-01-23
FAC-2024-0000093,SO-2024-0000093,,CUST_4D29345512F7,2024-01-20,55.9,"{'4%': 0.17, '10%': 2.26, '21%': 6.1}",8.53,64.43,2024-01-20,0,paid,2024-01-21
FAC-2024-0000094,SO-2024-0000094,ALB-2024-0000061,CUST_F6D2AEC76A82,2024-01-24,20.17,"{'4%': 0.08, '10%': 1.42, '21%': 0.85}",2.35,22.52,2024-01-24,0,paid,2024-01-25
FAC-2024-0000095,SO-2024-0000095,ALB-2024-0000062,CUST_9A6C52171C88,2024-01-22,49.92,"{'4%': 1.11, '10%': 0.63, '21%': 3.34}",5.08,55.0,2024-01-22,0,paid,2024-01-22
FAC-2024-0000096,SO-2024-0000096,,CUST_623225074181,2024-01-21,63.11,"{'4%': 0.96, '10%': 1.58, '21%': 4.88}",7.42,70.53,2024-01-21,0,paid,2024-01-22
FAC-2024-0000097,SO-2024-0000097,,CUST_4D29345512F7,2024-01-22,55.92,"{'4%': 0.83, '10%': 1.37, '21%': 4.48}",6.68,62.6,2024-01-22,0,paid,2024-01-22
FAC-2024-0000098,SO-2024-0000098,ALB-2024-0000063,CUST_707DFDB1429E,2024-01-28,49.77,"{'4%': 0.18, '10%': 2.41, '21%': 4.44}",7.03,56.8,2024-01-28,0,paid,2024-01-28
FAC-2024-0000099,SO-2024-0000099,,CUST_A48ED0421DFA,2024-01-23,67.28,"{'4%': 0.92, '10%': 2.53, '21%': 3.99}",7.44,74.72,2024-01-23,0,paid,2024-01-24
FAC-2024-0000100,SO-2024-0000100,ALB-2024-0000064,CUST_5C0BA757CB10,2024-01-25,59.67,"{'4%': 0.41, '10%': 1.17, '21%': 7.95}",9.53,69.2,2024-01-25,0,paid,2024-01-25
FAC-2024-0000101,SO-2024-0000101,,CUST_9DF29E825AAE,2024-01-23,93.99,"{'4%': 0.12, '10%': 8.31, '21%': 1.64}",10.07,104.06,2024-01-23,0,paid,2024-01-23
FAC-2024-0000102,SO-2024-0000102,ALB-2024-0000065,CUST_FE89D9CB3540,2024-01-26,57.54,"{'4%': 0.55, '10%': 3.37, '21%': 2.13}",6.05,63.59,2024-01-26,0,paid,2024-01-27
FAC-2024-0000103,SO-2024-0000103,,CUST_BE05965BEFDF,2024-01-24,38.04,"{'4%': 0.0, '10%': 3.27, '21%': 1.13}",4.4,42.44,2024-01-24,0,paid,2024-01-24
FAC-2024-0000104,SO-2024-0000104,ALB-2024-0000066,CUST_8962929C93B3,2024-01-28,37.17,"{'4%': 0.04, '10%': 3.25, '21%': 0.77}",4.06,41.23,2024-02-12,15,pending,
FAC-2024-0000105,SO-2024-0000105,ALB-2024-0000067,CUST_6FFFB2DC6C34,2024-01-27,49.68,"{'4%': 0.52, '10%': 2.18, '21%': 3.12}",5.82,55.5,2024-01-27,0,paid,2024-01-27
FAC-2024-0000106,SO-2024-0000106,,CUST_623225074181,2024-01-25,93.74,"{'4%': 1.12, '10%': 4.43, '21%': 4.48}",10.03,103.77,2024-01-25,0,paid,2024-01-26
FAC-2024-0000107,SO-2024-0000107,,CUST_49A2F7E8F8E5,2024-01-25,21.59,"{'4%': 0.26, '10%': 1.06, '21%': 0.96}",2.28,23.87,2024-01-25,0,paid,2024-01-26
FAC-2024-0000108,SO-2024-0000108,,CUST_04AA5CA0C428,2024-01-25,109.44,"{'4%': 1.82, '10%': 4.03, '21%': 4.96}",10.81,120.25,2024-02-24,30,pending,
FAC-2024-0000109,SO-2024-0000109,,CUST_A48ED0421DFA,2024-01-25,63.97,"{'4%': 0.91, '10%': 3.28, '21%': 1.75}",5.94,69.91,2024-01-25,0,paid,2024-01-25
FAC-2024-0000110,SO-2024-0000110,,CUST_32735373BF4D,2024-01-25,88.86,"{'4%': 1.23, '10%': 3.43, '21%': 5.03}",9.69,98.55,2024-01-25,0,paid,2024-01-26
FAC-2024-0000111,SO-2024-0000111,ALB-2024-0000068,CUST_7A1036A2C52B,2024-01-29,114.9,"{'4%': 0.26, '10%': 2.45, '21%': 17.6}",20.31,135.21,2024-01-29,0,paid,2024-01-29
FAC-2024-0000112,SO-2024-0000112,ALB-2024-0000069,CUST_25E98D7248E2,2024-01-29,43.91,"{'4%': 0.58, '10%': 1.9, '21%': 2.18}",4.66,48.57,2024-01-29,0,paid,2024-01-30
FAC-2024-0000113,SO-2024-0000113,,CUST_D3636F81CF4F,2024-01-26,24.72,"{'4%': 0.51, '10%': 1.2, '21%': 0.0}",1.71,26.43,2024-01-26,0,paid,2024-01-26
FAC-2024-0000114,SO-2024-0000114,,CUST_585A7BFDCC12,2024-01-26,43.11,"{'4%': 0.74, '10%': 0.55, '21%': 4.03}",5.32,48.43,2024-01-26,0,paid,2024-01-27
FAC-2024-0000115,SO-2024-0000115,ALB-2024-0000070,CUST_45F52E2FBF77,2024-01-29,34.64,"{'4%': 1.01, '10%': 0.57, '21%': 0.8}",2.38,37.02,2024-02-13,15,pending,
FAC-2024-0000116,SO-2024-0000116,ALB-2024-0000071,CUST_FD03C9525185,2024-01-29,20.44,"{'4%': 0.07, '10%': 0.3, '21%': 3.29}",3.66,24.1,2024-01-29,0,paid,2024-01-30
FAC-2024-0000117,SO-2024-0000117,,CUST_4EFCE10B1A47,2024-01-26,177.55,"{'4%': 1.36, '10%': 10.0, '21%': 9.14}",20.5,198.05,2024-02-10,15,pending,
FAC-2024-0000118,SO-2024-0000118,ALB-2024-0000072,CUST_B241519894D8,2024-01-27,41.78,"{'4%': 0.27, '10%': 3.5, '21%': 0.0}",3.77,45.55,2024-01-27,0,paid,2024-01-27
FAC-2024-0000119,SO-2024-0000119,,CUST_E6B3CB323E35,2024-01-27,75.12,"{'4%': 0.32, '10%': 4.71, '21%': 4.2}",9.23,84.35,2024-01-27,0,paid,2024-01-28
FAC-2024-0000120,SO-2024-0000120,,CUST_5C623A3C563E,2024-01-27,55.97,"{'4%': 1.13, '10%': 1.09, '21%': 3.55}",5.77,61.74,2024-01-27,0,paid,2024-01-28
FAC-2024-0000121,SO-2024-0000121,ALB-2024-0000073,CUST_585A7BFDCC12,2024-01-30,39.61,"{'4%': 0.43, '10%': 0.5, '21%': 5.0}",5.93,45.54,2024-01-30,0,paid,2024-01-30
FAC-2024-0000122,SO-2024-0000122,ALB-2024-0000074,CUST_966BFCD6BDCA,2024-01-29,67.75,"{'4%': 2.11, '10%': 1.15, '21%': 0.75}",4.01,71.76,2024-01-29,0,paid,2024-01-29
FAC-2024-0000123,SO-2024-0000123,ALB-2024-0000075,CUST_FBE9DBC080FD,2024-01-28,14.26,"{'4%': 0.0, '10%': 0.0, '21%': 2.99}",2.99,17.25,2024-01-28,0,paid,2024-01-29
FAC-2024-0000124,SO-2024-0000124,,CUST_284C27D415B6,2024-01-27,72.61,"{'4%': 0.27, '10%': 6.15, '21%': 0.93}",7.35,79.96,2024-01-27,0,paid,2024-01-28
FAC-2024-0000125,SO-2024-0000125,ALB-2024-0000076,CUST_4D29345512F7,2024-01-29,51.33,"{'4%': 1.86, '10%': 0.0, '21%': 1.01}",2.87,54.2,2024-01-29,0,paid,2024-01-30
FAC-2024-0000126,SO-2024-0000126,,CUST_58F0AAF78C67,2024-01-27,59.27,"{'4%': 0.0, '10%': 4.46, '21%': 3.08}",7.54,66.81,2024-01-27,0,paid,2024-01-28
FAC-2024-0000127,SO-2024-0000127,ALB-2024-0000077,CUST_EFFA3040413C,2024-01-29,34.68,"{'4%': 0.94, '10%': 1.11, '21%': 0.0}",2.05,36.73,2024-01-29,0,paid,2024-01-30
