receipt_id,po_id,po_line_number,dc_id,product_id,supplier_id,quantity_received,receipt_date,unit_cost
GR-2024-00000035,PO-2024-0000038,1,DC_ZGZ,PROD_003663,SUP_00019,220,2024-01-09,1.6637
GR-2024-00000036,PO-2024-0000030,1,DC_BCN,PROD_002626,SUP_00016,317,2024-01-10,0.5049
GR-2024-00000037,PO-2024-0000031,1,DC_MAD,PROD_003117,SUP_00016,423,2024-01-10,0.5383
GR-2024-00000038,PO-2024-0000031,2,DC_MAD,PROD_001044,SUP_00016,499,2024-01-10,0.9634
GR-2024-00000039,PO-2024-0000040,1,DC_MAD,PROD_002592,SUP_00019,316,2024-01-10,6.4267
GR-2024-00000040,PO-2024-0000041,1,DC_SEV,PROD_002305,SUP_00019,300,2024-01-10,2.9614
GR-2024-00000041,PO-2024-0000044,1,DC_BCN,PROD_000870,SUP_00019,157,2024-01-10,2.3421
GR-2024-00000042,PO-2024-0000013,1,DC_BCN,PROD_001902,SUP_00017,121,2024-01-11,1.7181
GR-2024-00000043,PO-2024-0000013,2,DC_BCN,PROD_001105,SUP_00017,250,2024-01-11,1.1292
GR-2024-00000044,PO-2024-0000013,3,DC_BCN,PROD_001633,SUP_00017,305,2024-01-11,1.2853
GR-2024-00000045,PO-2024-0000043,1,DC_VLC,PROD_001747,SUP_00007,166,2024-01-11,0.6474
GR-2024-00000046,PO-2024-0000053,1,DC_BCN,PROD_001748,SUP_00019,172,2024-01-12,0.9543
GR-2024-00000047,PO-2024-0000024,1,DC_BCN,PROD_001666,SUP_00014,169,2024-01-13,2.0472
GR-2024-00000048,PO-2024-0000024,2,DC_BCN,PROD_001613,SUP_00014,185,2024-01-13,1.9049
GR-2024-00000049,PO-2024-0000037,1,DC_ZGZ,PROD_002962,SUP_00016,319,2024-01-13,1.8254
GR-2024-00000050,PO-2024-0000039,1,DC_MAD,PROD_002405,SUP_00016,461,2024-01-13,1.798
GR-2024-00000051,PO-2024-0000049,1,DC_ZGZ,PROD_000168,SUP_00007,267,2024-01-13,2.1721
GR-2024-00000052,PO-2024-0000051,1,DC_SEV,PROD_002334,SUP_00015,328,2024-01-13,0.6907
GR-2024-00000053,PO-2024-0000054,1,DC_BCN,PROD_001594,SUP_00007,212,2024-01-13,0.7965
GR-2024-00000054,PO-2024-0000054,2,DC_BCN,PROD_001221,SUP_00007,257,2024-01-13,2.601
GR-2024-00000055,PO-2024-0000056,1,DC_VLC,PROD_001274,SUP_00019,201,2024-01-13,7.8875
GR-2024-00000056,PO-2024-0000014,1,DC_BCN,PROD_000367,SUP_00014,310,2024-01-14,2.1522
GR-2024-00000057,PO-2024-0000014,2,DC_BCN,PROD_001987,SUP_00014,236,2024-01-14,4.979
GR-2024-00000058,PO-2024-0000014,3,DC_BCN,PROD_001487,SUP_00014,155,2024-01-14,2.643
GR-2024-00000059,PO-2024-0000028,1,DC_BCN,PROD_002395,SUP_00017,166,2024-01-14,1.0516
GR-2024-00000060,PO-2024-0000028,2,DC_BCN,PROD_000377,SUP_00017,183,2024-01-14,1.24
GR-2024-00000061,PO-2024-0000033,1,DC_VLC,PROD_003445,SUP_00004,195,2024-01-14,0.9898
GR-2024-00000062,PO-2024-0000036,1,DC_ZGZ,PROD_002367,SUP_00017,150,2024-01-14,0.6527
GR-2024-00000063,PO-2024-0000055,1,DC_VLC,PROD_001929,SUP_00007,303,2024-01-14,1.1482
GR-2024-00000064,PO-2024-0000017,1,DC_BCN,PROD_003284,SUP_00004,261,2024-01-15,0.6682
GR-2024-00000065,PO-2024-0000048,1,DC_VLC,PROD_003103,SUP_00016,305,2024-01-15,2.0453
GR-2024-00000066,PO-2024-0000050,1,DC_ZGZ,PROD_003047,SUP_00016,249,2024-01-15,1.2128
GR-2024-00000067,PO-2024-0000052,1,DC_BCN,PROD_000011,SUP_00016,201,2024-01-15,3.2977
GR-2024-00000068,PO-2024-0000057,1,DC_ZGZ,PROD_000936,SUP_00007,376,2024-01-15,1.3318
GR-2024-00000069,PO-2024-0000061,1,DC_SEV,PROD_000293,SUP_00007,271,2024-01-15,1.2903
GR-2024-00000070,PO-2024-0000026,1,DC_SEV,PROD_000538,SUP_00014,262,2024-01-16,2.0386
GR-2024-00000071,PO-2024-0000034,1,DC_BCN,PROD_002565,SUP_00017,247,2024-01-16,1.0263
GR-2024-00000072,PO-2024-0000067,1,DC_BCN,PROD_000203,SUP_00007,224,2024-01-16,4.5384
GR-2024-00000073,PO-2024-0000069,1,DC_ZGZ,PROD_002216,SUP_00019,132,2024-01-16,3.2294
GR-2024-00000074,PO-2024-0000047,1,DC_VLC,PROD_003550,SUP_00004,268,2024-01-17,0.5411
GR-2024-00000075,PO-2024-0000045,1,DC_BCN,PROD_002085,SUP_00017,104,2024-01-18,0.7469
GR-2024-00000076,PO-2024-0000045,2,DC_BCN,PROD_002234,SUP_00017,147,2024-01-18,1.2118
GR-2024-00000077,PO-2024-0000045,3,DC_BCN,PROD_000323,SUP_00017,197,2024-01-18,1.0619
GR-2024-00000078,PO-2024-0000046,1,DC_BCN,PROD_002036,SUP_00014,206,2024-01-18,3.5362
GR-2024-00000079,PO-2024-0000063,1,DC_SEV,PROD_000164,SUP_00016,445,2024-01-18,2.4097
GR-2024-00000080,PO-2024-0000066,1,DC_BCN,PROD_000686,SUP_00016,296,2024-01-18,0.8286
GR-2024-00000081,PO-2024-0000072,1,DC_MAD,PROD_003669,SUP_00015,413,2024-01-18,1.2678
GR-2024-00000082,PO-2024-0000042,1,DC_SEV,PROD_000089,SUP_00004,458,2024-01-19,0.4459
GR-2024-00000083,PO-2024-0000060,1,DC_SEV,PROD_001844,SUP_00017,351,2024-01-19,0.9924
GR-2024-00000084,PO-2024-0000068,1,DC_ZGZ,PROD_003029,SUP_00016,361,2024-01-19,1.3319
GR-2024-00000085,PO-2024-0000077,1,DC_BCN,PROD_002539,SUP_00015,181,2024-01-19,1.4272
GR-2024-00000086,PO-2024-0000064,1,DC_BCN,PROD_000228,SUP_00017,316,2024-01-20,0.2762
GR-2024-00000087,PO-2024-0000064,2,DC_BCN,PROD_001069,SUP_00017,227,2024-01-20,1.1052
GR-2024-00000088,PO-2024-0000078,1,DC_BCN,PROD_002288,SUP_00015,337,2024-01-20,2.5859
GR-2024-00000089,PO-2024-0000079,1,DC_BCN,PROD_001297,SUP_00007,142,2024-01-20,1.021
GR-2024-00000090,PO-2024-0000079,2,DC_BCN,PROD_001996,SUP_00007,170,2024-01-20,1.5298
GR-2024-00000091,PO-2024-0000087,1,DC_VLC,PROD_001123,SUP_00007,207,2024-01-20,0.6375
GR-2024-00000092,PO-2024-0000058,1,DC_ZGZ,PROD_000523,SUP_00014,161,2024-01-21,2.4399
GR-2024-00000093,PO-2024-0000059,1,DC_ZGZ,PROD_002658,SUP_00017,310,2024-01-21,1.6236
GR-2024-00000094,PO-2024-0000074,1,DC_VLC,PROD_002824,SUP_00016,270,2024-01-21,1.8678
GR-2024-00000095,PO-2024-0000076,1,DC_ZGZ,PROD_002830,SUP_00016,205,2024-01-21,1.8641
GR-2024-00000096,PO-2024-0000076,2,DC_ZGZ,PROD_002792,SUP_00016,202,2024-01-21,0.7437
GR-2024-00000097,PO-2024-0000086,1,DC_MAD,PROD_001382,SUP_00005,223,2024-01-21,0.76
GR-2024-00000098,PO-2024-0000084,1,DC_MAD,PROD_003215,SUP_00016,378,2024-01-22,1.6479
GR-2024-00000099,PO-2024-0000062,1,DC_SEV,PROD_003301,SUP_00004,334,2024-01-23,0.8465
GR-2024-00000100,PO-2024-0000091,1,DC_BCN,PROD_000182,SUP_00007,179,2024-01-23,5.8602
GR-2024-00000101,PO-2024-0000091,2,DC_BCN,PROD_001530,SUP_00007,90,2024-01-23,0.9175
GR-2024-00000102,PO-2024-0000065,1,DC_MAD,PROD_002450,SUP_00014,511,2024-01-24,3.938
GR-2024-00000103,PO-2024-0000071,1,DC_MAD,PROD_003307,SUP_00004,246,2024-01-24,0.6029
GR-2024-00000104,PO-2024-0000082,1,DC_SEV,PROD_002228,SUP_00017,305,2024-01-24,0.9905
GR-2024-00000105,PO-2024-0000070,1,DC_MAD,PROD_002462,SUP_00014,524,2024-01-25,4.0893
GR-2024-00000106,PO-2024-0000090,1,DC_BCN,PROD_002403,SUP_00016,140,2024-01-25,1.402
GR-2024-00000107,PO-2024-0000090,2,DC_BCN,PROD_003148,SUP_00016,200,2024-01-25,2.0888
GR-2024-00000108,PO-2024-0000085,1,DC_MAD,PROD_002581,SUP_00017,433,2024-01-26,0.9894
GR-2024-00000109,PO-2024-0000093,1,DC_VLC,PROD_003243,SUP_00016,252,2024-01-26,2.0143
GR-2024-00000110,PO-2024-0000095,1,DC_BCN,PROD_002493,SUP_00007,343,2024-01-26,1.0545
GR-2024-00000111,PO-2024-0000099,1,DC_MAD,PROD_000955,SUP_00015,415,2024-01-26,1.1693
GR-2024-00000112,PO-2024-0000101,1,DC_VLC,PROD_000111,SUP_00015,101,2024-01-26,1.3797
GR-2024-00000113,PO-2024-0000103,1,DC_ZGZ,PROD_000360,SUP_00007,359,2024-01-26,4.8635
GR-2024-00000114,PO-2024-0000103,2,DC_ZGZ,PROD_001120,SUP_00007,206,2024-01-26,1.9906
GR-2024-00000115,PO-2024-0000073,1,DC_VLC,PROD_003466,SUP_00004,153,2024-01-27,2.3557
GR-2024-00000116,PO-2024-0000075,1,DC_VLC,PROD_001923,SUP_00014,190,2024-01-27,4.6662
GR-2024-00000117,PO-2024-0000080,1,DC_BCN,PROD_003199,SUP_00017,242,2024-01-27,4.3299
GR-2024-00000118,PO-2024-0000080,2,DC_BCN,PROD_002062,SUP_00017,137,2024-01-27,0.5914
GR-2024-00000119,PO-2024-0000094,1,DC_SEV,PROD_000001,SUP_00016,442,2024-01-27,1.0281
GR-2024-00000120,PO-2024-0000094,2,DC_SEV,PROD_000649,SUP_00016,236,2024-01-27,0.6727
GR-2024-00000121,PO-2024-0000108,1,DC_BCN,PROD_000694,SUP_00019,157,2024-01-27,1.4729
GR-2024-00000122,PO-2024-0000109,1,DC_BCN,PROD_001101,SUP_00007,209,2024-01-27,1.1044
GR-2024-00000123,PO-2024-0000109,2,DC_BCN,PROD_002277,SUP_00007,222,2024-01-27,1.6141
GR-2024-00000124,PO-2024-0000110,1,DC_SEV,PROD_001394,SUP_00019,160,2024-01-27,1.9798
GR-2024-00000125,PO-2024-0000105,1,DC_SEV,PROD_002723,SUP_00005,335,2024-01-28,2.1949
GR-2024-00000126,PO-2024-0000081,1,DC_BCN,PROD_001889,SUP_00014,315,2024-01-29,2.6775
GR-2024-00000127,PO-2024-0000081,2,DC_BCN,PROD_001954,SUP_00014,282,2024-01-29,3.3544
GR-2024-00000128,PO-2024-0000083,1,DC_BCN,PROD_003370,SUP_00004,114,2024-01-29,0.9221
GR-2024-00000129,PO-2024-0000088,1,DC_BCN,PROD_001973,SUP_00014,195,2024-01-29,1.9833
GR-2024-00000130,PO-2024-0000089,1,DC_MAD,PROD_003497,SUP_00004,356,2024-01-29,1.0003
GR-2024-00000131,PO-2024-0000092,1,DC_BCN,PROD_003299,SUP_00004,173,2024-01-29,1.013
GR-2024-00000132,PO-2024-0000106,1,DC_SEV,PROD_001064,SUP_00007,460,2024-01-29,0.2472
GR-2024-00000133,PO-2024-0000111,1,DC_SEV,PROD_002186,SUP_00015,181,2024-01-29,0.6092
GR-2024-00000134,PO-2024-0000112,1,DC_BCN,PROD_000111,SUP_00015,152,2024-01-29,1.4716
GR-2024-00000135,PO-2024-0000116,1,DC_VLC,PROD_002030,SUP_00015,124,2024-01-29,1.0423
GR-2024-00000136,PO-2024-0000129,1,DC_ZGZ,PROD_001514,SUP_00019,304,2024-01-29,6.4507
GR-2024-00000137,PO-2024-0000096,1,DC_BCN,PROD_001040,SUP_00017,337,2024-01-30,0.8856
GR-2024-00000138,PO-2024-0000096,2,DC_BCN,PROD_003594,SUP_00017,252,2024-01-30,4.4037
GR-2024-00000139,PO-2024-0000120,1,DC_BCN,PROD_000395,SUP_00007,140,2024-01-30,0.7113
GR-2024-00000140,PO-2024-0000123,1,DC_ZGZ,PROD_002601,SUP_00015,146,2024-01-30,0.8953
GR-2024-00000141,PO-2024-0000132,1,DC_SEV,PROD_000536,SUP_00019,254,2024-01-30,7.3176
GR-2024-00000142,PO-2024-0000115,1,DC_VLC,PROD_003151,SUP_00016,300,2024-01-31,1.9539
GR-2024-00000143,PO-2024-0000115,2,DC_VLC,PROD_000051,SUP_00016,169,2024-01-31,0.5975
GR-2024-00000144,PO-2024-0000124,1,DC_ZGZ,PROD_003083,SUP_00016,209,2024-01-31,0.8218
GR-2024-00000145,PO-2024-0000126,1,DC_SEV,PROD_003625,SUP_00005,238,2024-01-31,0.6889
GR-2024-00000146,PO-2024-0000127,1,DC_SEV,PROD_000065,SUP_00016,323,2024-01-31,1.1211
GR-2024-00000147,PO-2024-0000127,2,DC_SEV,PROD_002936,SUP_00016,233,2024-01-31,2.1288
GR-2024-00000148,PO-2024-0000130,1,DC_BCN,PROD_002477,SUP_00007,257,2024-01-31,8.6156
GR-2024-00000149,PO-2024-0000131,1,DC_SEV,PROD_002402,SUP_00007,328,2024-01-31,1.3328
GR-2024-00000150,PO-2024-0000133,1,DC_SEV,PROD_000526,SUP_00015,345,2024-01-31,0.5188
GR-2024-00000151,PO-2024-0000137,1,DC_ZGZ,PROD_000938,SUP_00019,197,2024-01-31,2.0896
GR-2024-00000152,PO-2024-0000137,2,DC_ZGZ,PROD_000829,SUP_00019,314,2024-01-31,1.0723
GR-2024-00000153,PO-2024-0000098,1,DC_MAD,PROD_002237,SUP_00017,451,2024-02-01,0.6365
GR-2024-00000154,PO-2024-0000107,1,DC_BCN,PROD_003648,SUP_00017,225,2024-02-01,0.6347
GR-2024-00000155,PO-2024-0000139,1,DC_ZGZ,PROD_000683,SUP_00015,238,2024-02-01,1.5717
GR-2024-00000156,PO-2024-0000150,1,DC_BCN,PROD_001396,SUP_00019,166,2024-02-01,2.3572
GR-2024-00000157,PO-2024-0000100,1,DC_VLC,PROD_003511,SUP_00004,297,2024-02-02,0.6213
GR-2024-00000158,PO-2024-0000102,1,DC_ZGZ,PROD_002127,SUP_00014,377,2024-02-02,1.401
GR-2024-00000159,PO-2024-0000118,1,DC_BCN,PROD_002617,SUP_00016,116,2024-02-02,1.3629
GR-2024-00000160,PO-2024-0000118,2,DC_BCN,PROD_003210,SUP_00016,239,2024-02-02,0.866
GR-2024-00000161,PO-2024-0000118,3,DC_BCN,PROD_003208,SUP_00016,235,2024-02-02,2.6153
GR-2024-00000162,PO-2024-0000119,1,DC_BCN,PROD_002025,SUP_00017,257,2024-02-02,1.235
GR-2024-00000163,PO-2024-0000119,2,DC_BCN,PROD_001921,SUP_00017,195,2024-02-02,3.2118
GR-2024-00000164,PO-2024-0000146,1,DC_MAD,PROD_001771,SUP_00007,595,2024-02-02,1.2587
GR-2024-00000165,PO-2024-0000147,1,DC_BCN,PROD_001636,SUP_00007,164,2024-02-02,1.3836
GR-2024-00000166,PO-2024-0000154,1,DC_BCN,PROD_001325,SUP_00019,115,2024-02-02,4.7197
GR-2024-00000167,PO-2024-0000154,2,DC_BCN,PROD_000439,SUP_00019,268,2024-02-02,5.3472
GR-2024-00000168,PO-2024-0000157,1,DC_ZGZ,PROD_000522,SUP_00019,172,2024-02-02,2.1671
GR-2024-00000169,PO-2024-0000097,1,DC_BCN,PROD_000692,SUP_00014,256,2024-02-03,2.134
GR-2024-00000170,PO-2024-0000142,1,DC_VLC,PROD_000590,SUP_00016,236,2024-02-03,1.0091
GR-2024-00000171,PO-2024-0000151,1,DC_BCN,PROD_003699,SUP_00007,250,2024-02-03,3.6948
GR-2024-00000172,PO-2024-0000151,2,DC_BCN,PROD_000378,SUP_00007,205,2024-02-03,2.1154
GR-2024-00000173,PO-2024-0000155,1,DC_BCN,PROD_000301,SUP_00015,145,2024-02-03,1.5203
GR-2024-00000174,PO-2024-0000155,2,DC_BCN,PROD_002582,SUP_00015,150,2024-02-03,0.8733
GR-2024-00000175,PO-2024-0000155,3,DC_BCN,PROD_002413,SUP_00015,315,2024-02-03,1.715
GR-2024-00000176,PO-2024-0000158,1,DC_ZGZ,PROD_000124,SUP_00007,263,2024-02-03,3.2837
GR-2024-00000177,PO-2024-0000104,1,DC_SEV,PROD_002126,SUP_00014,373,2024-02-04,2.7119
GR-2024-00000178,PO-2024-0000104,2,DC_SEV,PROD_003637,SUP_00014,190,2024-02-04,1.9816
GR-2024-00000179,PO-2024-0000104,3,DC_SEV,PROD_002535,SUP_00014,449,2024-02-04,2.2198
GR-2024-00000180,PO-2024-0000114,1,DC_VLC,PROD_001985,SUP_00014,129,2024-02-04,1.3949
GR-2024-00000181,PO-2024-0000114,2,DC_VLC,PROD_002605,SUP_00014,140,2024-02-04,1.4543
GR-2024-00000182,PO-2024-0000114,3,DC_VLC,PROD_002211,SUP_00014,329,2024-02-04,3.5046
GR-2024-00000183,PO-2024-0000114,4,DC_VLC,PROD_002608,SUP_00014,114,2024-02-04,2.1157
GR-2024-00000184,PO-2024-0000148,1,DC_BCN,PROD_002873,SUP_00016,142,2024-02-04,0.3744
GR-2024-00000185,PO-2024-0000160,1,DC_BCN,PROD_001961,SUP_00007,169,2024-02-04,1.0247
GR-2024-00000186,PO-2024-0000160,2,DC_BCN,PROD_000877,SUP_00007,111,2024-02-04,0.6364
GR-2024-00000187,PO-2024-0000163,1,DC_SEV,PROD_002006,SUP_00015,200,2024-02-04,1.1052
GR-2024-00000188,PO-2024-0000164,1,DC_SEV,PROD_000609,SUP_00007,216,2024-02-04,3.3975
GR-2024-00000189,PO-2024-0000172,1,DC_ZGZ,PROD_000419,SUP_00019,240,2024-02-04,1.1434
GR-2024-00000190,PO-2024-0000113,1,DC_VLC,PROD_003503,SUP_00004,251,2024-02-05,0.7499
GR-2024-00000191,PO-2024-0000122,1,DC_ZGZ,PROD_001524,SUP_00017,242,2024-02-05,1.8592
GR-2024-00000192,PO-2024-0000122,2,DC_ZGZ,PROD_001465,SUP_00017,202,2024-02-05,0.8025
GR-2024-00000193,PO-2024-0000128,1,DC_VLC,PROD_000088,SUP_00004,188,2024-02-05,0.7419
GR-2024-00000194,PO-2024-0000135,1,DC_BCN,PROD_001707,SUP_00017,171,2024-02-05,0.4052
GR-2024-00000195,PO-2024-0000135,2,DC_BCN,PROD_001052,SUP_00017,171,2024-02-05,1.7784
GR-2024-00000196,PO-2024-0000136,1,DC_ZGZ,PROD_002197,SUP_00017,164,2024-02-05,2.9013
GR-2024-00000197,PO-2024-0000143,1,DC_MAD,PROD_003223,SUP_00016,377,2024-02-05,2.932
GR-2024-00000198,PO-2024-0000165,1,DC_SEV,PROD_000848,SUP_00016,421,2024-02-05,0.6108
GR-2024-00000199,PO-2024-0000166,1,DC_ZGZ,PROD_001368,SUP_00015,195,2024-02-05,1.5344
GR-2024-00000200,PO-2024-0000166,2,DC_ZGZ,PROD_000404,SUP_00015,224,2024-02-05,1.3361
GR-2024-00000201,PO-2024-0000168,1,DC_SEV,PROD_000378,SUP_00007,284,2024-02-05,1.8388
GR-2024-00000202,PO-2024-0000168,2,DC_SEV,PROD_000316,SUP_00007,444,2024-02-05,1.0308
GR-2024-00000203,PO-2024-0000170,1,DC_ZGZ,PROD_001073,SUP_00007,224,2024-02-05,1.1287
GR-2024-00000204,PO-2024-0000175,1,DC_VLC,PROD_001690,SUP_00007,181,2024-02-05,0.9809
GR-2024-00000205,PO-2024-0000121,1,DC_ZGZ,PROD_003376,SUP_00004,378,2024-02-06,2.3225
GR-2024-00000206,PO-2024-0000121,2,DC_ZGZ,PROD_003413,SUP_00004,160,2024-02-06,1.3947
GR-2024-00000207,PO-2024-0000134,1,DC_SEV,PROD_000433,SUP_00017,286,2024-02-06,0.7295
GR-2024-00000208,PO-2024-0000134,2,DC_SEV,PROD_001110,SUP_00017,500,2024-02-06,1.0632
GR-2024-00000209,PO-2024-0000156,1,DC_BCN,PROD_003065,SUP_00016,135,2024-02-06,1.6801
GR-2024-00000210,PO-2024-0000173,1,DC_SEV,PROD_001351,SUP_00015,374,2024-02-06,0.8186
GR-2024-00000211,PO-2024-0000117,1,DC_BCN,PROD_001706,SUP_00014,203,2024-02-07,4.4081
GR-2024-00000212,PO-2024-0000125,1,DC_BCN,PROD_003501,SUP_00004,311,2024-02-07,1.0157
GR-2024-00000213,PO-2024-0000176,1,DC_SEV,PROD_003624,SUP_00016,417,2024-02-07,1.4971
GR-2024-00000214,PO-2024-0000180,1,DC_BCN,PROD_001395,SUP_00019,224,2024-02-07,1.3571
GR-2024-00000215,PO-2024-0000140,1,DC_ZGZ,PROD_002607,SUP_00014,188,2024-02-08,2.567
GR-2024-00000216,PO-2024-0000141,1,DC_BCN,PROD_003348,SUP_00004,238,2024-02-08,0.8957
GR-2024-00000217,PO-2024-0000167,1,DC_ZGZ,PROD_002988,SUP_00016,238,2024-02-08,5.7308
GR-2024-00000218,PO-2024-0000167,2,DC_ZGZ,PROD_001126,SUP_00016,251,2024-02-08,0.9566
GR-2024-00000219,PO-2024-0000138,1,DC_ZGZ,PROD_003423,SUP_00004,335,2024-02-09,0.816
GR-2024-00000220,PO-2024-0000152,1,DC_BCN,PROD_002420,SUP_00014,237,2024-02-09,6.6699
GR-2024-00000221,PO-2024-0000152,2,DC_BCN,PROD_001907,SUP_00014,160,2024-02-09,0.7104
GR-2024-00000222,PO-2024-0000181,1,DC_VLC,PROD_002453,SUP_00007,197,2024-02-09,2.4277
GR-2024-00000223,PO-2024-0000144,1,DC_MAD,PROD_003368,SUP_00004,285,2024-02-10,1.1599
GR-2024-00000224,PO-2024-0000145,1,DC_MAD,PROD_002587,SUP_00014,372,2024-02-10,3.4
GR-2024-00000225,PO-2024-0000161,1,DC_BCN,PROD_003439,SUP_00004,317,2024-02-10,0.7114
GR-2024-00000226,PO-2024-0000162,1,DC_SEV,PROD_001839,SUP_00014,205,2024-02-10,0.7255
GR-2024-00000227,PO-2024-0000171,1,DC_ZGZ,PROD_000081,SUP_00004,181,2024-02-10,1.5658
GR-2024-00000228,PO-2024-0000186,1,DC_MAD,PROD_000541,SUP_00007,384,2024-02-10,4.327
GR-2024-00000229,PO-2024-0000189,1,DC_BCN,PROD_000879,SUP_00015,231,2024-02-10,0.9472
GR-2024-00000230,PO-2024-0000190,1,DC_BCN,PROD_000966,SUP_00007,217,2024-02-10,1.0169
GR-2024-00000231,PO-2024-0000195,1,DC_BCN,PROD_003630,SUP_00019,235,2024-02-10,0.9559
GR-2024-00000232,PO-2024-0000197,1,DC_ZGZ,PROD_001796,SUP_00019,237,2024-02-10,1.5511
GR-2024-00000233,PO-2024-0000149,1,DC_BCN,PROD_003527,SUP_00004,270,2024-02-11,1.206
GR-2024-00000234,PO-2024-0000153,1,DC_MAD,PROD_000091,SUP_00004,453,2024-02-11,1.691
GR-2024-00000235,PO-2024-0000184,1,DC_BCN,PROD_000062,SUP_00016,122,2024-02-11,2.1617
GR-2024-00000236,PO-2024-0000187,1,DC_BCN,PROD_001745,SUP_00016,254,2024-02-11,1.1573
GR-2024-00000237,PO-2024-0000187,2,DC_BCN,PROD_002717,SUP_00016,273,2024-02-11,0.8695
GR-2024-00000238,PO-2024-0000191,1,DC_ZGZ,PROD_002054,SUP_00015,274,2024-02-11,0.9117
GR-2024-00000239,PO-2024-0000193,1,DC_BCN,PROD_000873,SUP_00007,222,2024-02-11,3.166
GR-2024-00000240,PO-2024-0000159,1,DC_BCN,PROD_001217,SUP_00014,108,2024-02-12,1.769
GR-2024-00000241,PO-2024-0000169,1,DC_ZGZ,PROD_001914,SUP_00014,306,2024-02-12,4.4152
GR-2024-00000242,PO-2024-0000169,2,DC_ZGZ,PROD_001823,SUP_00014,412,2024-02-12,1.8413
