po_id,line_number,product_id,quantity_ordered,unit_cost,tax_rate,line_total_net
PO-2024-0000108,1,PROD_000694,206,1.4729,0.1,303.42
PO-2024-0000109,1,PROD_001101,260,1.1044,0.04,287.14
PO-2024-0000109,2,PROD_002277,224,1.6141,0.04,361.56
PO-2024-0000110,1,PROD_001394,164,1.9798,0.1,324.69
PO-2024-0000111,1,PROD_002186,227,0.6092,0.04,138.29
PO-2024-0000112,1,PROD_000111,206,1.4716,0.04,303.15
PO-2024-0000113,1,PROD_003503,258,0.7499,0.21,193.47
PO-2024-0000114,1,PROD_001985,134,1.3949,0.1,186.92
PO-2024-0000114,2,PROD_002605,148,1.4543,0.1,215.24
PO-2024-0000114,3,PROD_002211,347,3.5046,0.1,1216.1
PO-2024-0000114,4,PROD_002608,134,2.1157,0.1,283.5
PO-2024-0000115,1,PROD_003151,348,1.9539,0.21,679.96
PO-2024-0000115,2,PROD_000051,199,0.5975,0.21,118.9
PO-2024-0000116,1,PROD_002030,152,1.0423,0.04,158.43
PO-2024-0000117,1,PROD_001706,241,4.4081,0.1,1062.35
PO-2024-0000118,1,PROD_002617,130,1.3629,0.21,177.18
PO-2024-0000118,2,PROD_003210,245,0.866,0.21,212.17
PO-2024-0000118,3,PROD_003208,254,2.6153,0.21,664.29
PO-2024-0000119,1,PROD_002025,284,1.235,0.1,350.74
PO-2024-0000119,2,PROD_001921,238,3.2118,0.1,764.41
PO-2024-0000120,1,PROD_000395,175,0.7113,0.21,124.48
PO-2024-0000121,1,PROD_003376,440,2.3225,0.21,1021.9
PO-2024-0000121,2,PROD_003413,195,1.3947,0.21,271.97
PO-2024-0000122,1,PROD_001524,259,1.8592,0.1,481.53
PO-2024-0000122,2,PROD_001465,242,0.8025,0.1,194.2
PO-2024-0000123,1,PROD_002601,186,0.8953,0.04,166.53
PO-2024-0000124,1,PROD_003083,232,0.8218,0.21,190.66
PO-2024-0000125,1,PROD_003501,355,1.0157,0.21,360.57
PO-2024-0000126,1,PROD_003625,262,0.6889,0.1,180.49
PO-2024-0000127,1,PROD_000065,361,1.1211,0.21,404.72
PO-2024-0000127,2,PROD_002936,234,2.1288,0.21,498.14
PO-2024-0000128,1,PROD_000088,227,0.7419,0.21,168.41
PO-2024-0000129,1,PROD_001514,371,6.4507,0.1,2393.21
PO-2024-0000130,1,PROD_002477,262,8.6156,0.04,2257.29
PO-2024-0000131,1,PROD_002402,343,1.3328,0.04,457.15
PO-2024-0000132,1,PROD_000536,324,7.3176,0.1,2370.9
PO-2024-0000133,1,PROD_000526,367,0.5188,0.04,190.4
PO-2024-0000134,1,PROD_000433,327,0.7295,0.1,238.55
PO-2024-0000134,2,PROD_001110,510,1.0632,0.1,542.23
PO-2024-0000135,1,PROD_001707,205,0.4052,0.1,83.07
PO-2024-0000135,2,PROD_001052,203,1.7784,0.1,361.02
PO-2024-0000136,1,PROD_002197,196,2.9013,0.1,568.65
PO-2024-0000137,1,PROD_000938,209,2.0896,0.1,436.73
PO-2024-0000137,2,PROD_000829,407,1.0723,0.1,436.43
PO-2024-0000138,1,PROD_003423,367,0.816,0.21,299.47
PO-2024-0000139,1,PROD_000683,287,1.5717,0.04,451.08
PO-2024-0000140,1,PROD_002607,220,2.567,0.1,564.74
PO-2024-0000141,1,PROD_003348,256,0.8957,0.21,229.3
PO-2024-0000142,1,PROD_000590,255,1.0091,0.1,257.32
PO-2024-0000143,1,PROD_003223,443,2.932,0.21,1298.88
PO-2024-0000144,1,PROD_003368,354,1.1599,0.21,410.6
PO-2024-0000145,1,PROD_002587,378,3.4,0.1,1285.2
PO-2024-0000146,1,PROD_001771,629,1.2587,0.04,791.72
PO-2024-0000147,1,PROD_001636,189,1.3836,0.04,261.5
PO-2024-0000148,1,PROD_002873,160,0.3744,0.21,59.9
PO-2024-0000149,1,PROD_003527,270,1.206,0.21,325.62
PO-2024-0000150,1,PROD_001396,202,2.3572,0.1,476.15
PO-2024-0000151,1,PROD_003699,306,3.6948,0.04,1130.61
PO-2024-0000151,2,PROD_000378,258,2.1154,0.21,545.77
PO-2024-0000152,1,PROD_002420,268,6.6699,0.1,1787.53
PO-2024-0000152,2,PROD_001907,172,0.7104,0.1,122.19
PO-2024-0000153,1,PROD_000091,537,1.691,0.21,908.07
PO-2024-0000154,1,PROD_001325,159,4.7197,0.1,750.43
PO-2024-0000154,2,PROD_000439,292,5.3472,0.1,1561.38
PO-2024-0000155,1,PROD_000301,165,1.5203,0.04,250.85
PO-2024-0000155,2,PROD_002582,175,0.8733,0.04,152.83
PO-2024-0000155,3,PROD_002413,373,1.715,0.04,639.7
PO-2024-0000156,1,PROD_003065,141,1.6801,0.21,236.89
PO-2024-0000157,1,PROD_000522,194,2.1671,0.1,420.42
PO-2024-0000158,1,PROD_000124,268,3.2837,0.04,880.03
PO-2024-0000159,1,PROD_001217,114,1.769,0.1,201.67
PO-2024-0000160,1,PROD_001961,191,1.0247,0.04,195.72
PO-2024-0000160,2,PROD_000877,136,0.6364,0.04,86.55
PO-2024-0000161,1,PROD_003439,343,0.7114,0.21,244.01
PO-2024-0000162,1,PROD_001839,215,0.7255,0.1,155.98
PO-2024-0000163,1,PROD_002006,266,1.1052,0.04,293.98
PO-2024-0000164,1,PROD_000609,277,3.3975,0.21,941.11
PO-2024-0000165,1,PROD_000848,472,0.6108,0.1,288.3
PO-2024-0000166,1,PROD_001368,241,1.5344,0.04,369.79
PO-2024-0000166,2,PROD_000404,294,1.3361,0.04,392.81
PO-2024-0000167,1,PROD_002988,243,5.7308,0.21,1392.58
PO-2024-0000167,2,PROD_001126,281,0.9566,0.1,268.8
PO-2024-0000168,1,PROD_000378,350,1.8388,0.21,643.58
PO-2024-0000168,2,PROD_000316,444,1.0308,0.04,457.68
PO-2024-0000169,1,PROD_001914,363,4.4152,0.1,1602.72
PO-2024-0000169,2,PROD_001823,454,1.8413,0.1,835.95
PO-2024-0000169,3,PROD_000578,291,2.2322,0.1,649.57
PO-2024-0000170,1,PROD_001073,248,1.1287,0.04,279.92
PO-2024-0000171,1,PROD_000081,209,1.5658,0.21,327.25
PO-2024-0000172,1,PROD_000419,264,1.1434,0.1,301.86
PO-2024-0000173,1,PROD_001351,386,0.8186,0.04,315.98
PO-2024-0000174,1,PROD_000818,330,1.2905,0.1,425.87
PO-2024-0000175,1,PROD_001690,216,0.9809,0.21,211.87
PO-2024-0000176,1,PROD_003624,423,1.4971,0.1,633.27
PO-2024-0000177,1,PROD_002201,261,1.3883,0.1,362.35
PO-2024-0000178,1,PROD_000551,397,1.4085,0.1,559.17
PO-2024-0000178,2,PROD_002011,548,3.5986,0.1,1972.03
PO-2024-0000178,3,PROD_002464,252,4.9519,0.1,1247.88
PO-2024-0000179,1,PROD_000298,324,1.2007,0.1,389.03
PO-2024-0000179,2,PROD_001183,523,0.8473,0.1,443.14
PO-2024-0000180,1,PROD_001395,239,1.3571,0.1,324.35
PO-2024-0000181,1,PROD_002453,209,2.4277,0.04,507.39
PO-2024-0000182,1,PROD_000507,236,9.0054,0.1,2125.27
PO-2024-0000183,1,PROD_000769,175,0.9121,0.1,159.62
PO-2024-0000183,2,PROD_002999,195,0.6857,0.1,133.71
PO-2024-0000184,1,PROD_000062,130,2.1617,0.21,281.02
PO-2024-0000185,1,PROD_003640,208,0.8294,0.1,172.52
PO-2024-0000186,1,PROD_000541,446,4.327,0.04,1929.84
PO-2024-0000187,1,PROD_001745,284,1.1573,0.1,328.67
PO-2024-0000187,2,PROD_002717,299,0.8695,0.21,259.98
PO-2024-0000188,1,PROD_002557,568,1.9413,0.1,1102.66
PO-2024-0000189,1,PROD_000879,277,0.9472,0.04,262.37
PO-2024-0000190,1,PROD_000966,266,1.0169,0.04,270.5
PO-2024-0000191,1,PROD_002054,281,0.9117,0.04,256.19
PO-2024-0000192,1,PROD_003533,511,1.5129,0.21,773.09
PO-2024-0000193,1,PROD_000873,267,3.166,0.04,845.32
PO-2024-0000194,1,PROD_003017,218,0.5211,0.21,113.6
PO-2024-0000195,1,PROD_003630,266,0.9559,0.1,254.27
PO-2024-0000196,1,PROD_003205,398,2.1219,0.21,844.52
PO-2024-0000197,1,PROD_001796,270,1.5511,0.1,418.8
PO-2024-0000198,1,PROD_001923,298,4.6176,0.1,1376.04
PO-2024-0000199,1,PROD_002965,377,1.922,0.21,724.59
PO-2024-0000200,1,PROD_001095,239,1.0296,0.21,246.07
PO-2024-0000200,2,PROD_001525,223,5.6862,0.21,1268.02
PO-2024-0000200,3,PROD_001466,109,0.9517,0.21,103.74
PO-2024-0000200,4,PROD_000254,206,0.5265,0.21,108.46
PO-2024-0000200,5,PROD_001772,141,1.6358,0.21,230.65
PO-2024-0000201,1,PROD_003082,223,1.9736,0.21,440.11
PO-2024-0000201,2,PROD_003018,195,1.9823,0.21,386.55
PO-2024-0000202,1,PROD_002625,360,1.9587,0.21,705.13
PO-2024-0000203,1,PROD_003538,323,14.7594,0.21,4767.29
PO-2024-0000204,1,PROD_002534,503,1.3162,0.21,662.05
PO-2024-0000205,1,PROD_000578,194,2.5837,0.1,501.24
PO-2024-0000206,1,PROD_000096,190,1.3368,0.21,253.99
PO-2024-0000207,1,PROD_000651,366,2.1758,0.1,796.34
PO-2024-0000208,1,PROD_003528,299,2.5244,0.21,754.8
PO-2024-0000209,1,PROD_002380,208,1.2013,0.1,249.87
PO-2024-0000210,1,PROD_003716,205,1.5679,0.21,321.42
PO-2024-0000210,2,PROD_003410,223,0.7022,0.21,156.59
PO-2024-0000211,1,PROD_001330,323,1.5546,0.1,502.14
PO-2024-0000212,1,PROD_001418,214,9.8599,0.04,2110.02
PO-2024-0000213,1,PROD_001128,474,1.9009,0.04,901.03
PO-2024-0000213,2,PROD_000148,349,1.0315,0.04,359.99
PO-2024-0000214,1,PROD_003667,444,2.2129,0.1,982.53
PO-2024-0000215,1,PROD_000691,232,1.1488,0.1,266.52
PO-2024-0000216,1,PROD_000681,308,1.5302,0.1,471.3
PO-2024-0000217,1,PROD_003107,296,1.9158,0.21,567.08
PO-2024-0000218,1,PROD_001491,276,0.6889,0.21,190.14
PO-2024-0000219,1,PROD_002856,189,0.8369,0.21,158.17
PO-2024-0000220,1,PROD_002980,525,0.9518,0.21,499.69
PO-2024-0000221,1,PROD_002935,141,0.8438,0.1,118.98
PO-2024-0000222,1,PROD_001442,292,0.7097,0.1,207.23
PO-2024-0000223,1,PROD_003589,507,2.5219,0.1,1278.6
PO-2024-0000223,2,PROD_001141,281,1.7604,0.1,494.67
PO-2024-0000224,1,PROD_001282,178,2.6575,0.21,473.04
PO-2024-0000224,2,PROD_001190,181,1.0891,0.04,197.13
PO-2024-0000224,3,PROD_000479,223,3.0935,0.04,689.85
PO-2024-0000224,4,PROD_002301,142,0.991,0.04,140.72
PO-2024-0000224,5,PROD_001565,155,0.3192,0.21,49.48
PO-2024-0000225,1,PROD_002206,308,0.6312,0.1,194.41
PO-2024-0000225,2,PROD_003611,254,3.8875,0.1,987.43
PO-2024-0000226,1,PROD_002636,325,1.2119,0.21,393.87
PO-2024-0000227,1,PROD_000087,149,0.9859,0.21,146.9
PO-2024-0000227,2,PROD_003467,243,0.8952,0.21,217.53
PO-2024-0000227,3,PROD_000776,362,0.523,0.21,189.33
PO-2024-0000228,1,PROD_001000,663,3.1777,0.04,2106.82
PO-2024-0000229,1,PROD_003087,366,1.9726,0.21,721.97
PO-2024-0000230,1,PROD_001855,281,2.0265,0.1,569.45
PO-2024-0000230,2,PROD_000319,342,1.532,0.1,523.94
PO-2024-0000231,1,PROD_000940,220,0.8101,0.04,178.22
PO-2024-0000232,1,PROD_002306,441,1.5432,0.1,680.55
PO-2024-0000233,1,PROD_001029,287,0.732,0.04,210.08
PO-2024-0000234,1,PROD_001759,339,1.1687,0.1,396.19
PO-2024-0000235,1,PROD_002884,188,1.6271,0.1,305.89
PO-2024-0000236,1,PROD_001383,251,3.0715,0.1,770.95
PO-2024-0000237,1,PROD_003094,224,6.2265,0.21,1394.74
PO-2024-0000237,2,PROD_000011,350,3.0463,0.21,1066.2
PO-2024-0000237,3,PROD_003089,390,1.2119,0.21,472.64
PO-2024-0000238,1,PROD_003226,655,3.486,0.21,2283.33
PO-2024-0000239,1,PROD_003295,292,0.8173,0.21,238.65
PO-2024-0000240,1,PROD_002787,360,0.9034,0.21,325.22
PO-2024-0000241,1,PROD_003034,481,1.7742,0.21,853.39
PO-2024-0000242,1,PROD_001266,382,5.9801,0.1,2284.4
PO-2024-0000243,1,PROD_002520,109,1.371,0.21,149.44
PO-2024-0000244,1,PROD_001118,327,1.6624,0.1,543.6
PO-2024-0000245,1,PROD_001133,344,1.1701,0.21,402.51
PO-2024-0000246,1,PROD_001414,373,1.6542,0.1,617.02
PO-2024-0000246,2,PROD_002299,112,1.3948,0.1,156.22
PO-2024-0000247,1,PROD_001865,216,4.9176,0.1,1062.2
PO-2024-0000247,2,PROD_001219,445,2.0113,0.1,895.03
PO-2024-0000248,1,PROD_003351,377,0.8984,0.21,338.7
PO-2024-0000249,1,PROD_002164,307,0.5195,0.1,159.49
PO-2024-0000250,1,PROD_000270,495,1.3408,0.1,663.7
PO-2024-0000250,2,PROD_001287,551,1.4369,0.1,791.73
PO-2024-0000251,1,PROD_003489,575,0.9464,0.21,544.18
PO-2024-0000252,1,PROD_002312,257,1.3696,0.1,351.99
PO-2024-0000252,2,PROD_000595,625,2.1697,0.1,1356.06
PO-2024-0000253,1,PROD_001254,299,2.2802,0.04,681.78
PO-2024-0000253,2,PROD_002445,341,0.7748,0.04,264.21
PO-2024-0000254,1,PROD_003281,202,0.5866,0.21,118.49
PO-2024-0000254,2,PROD_003447,270,0.8836,0.21,238.57
PO-2024-0000255,1,PROD_002728,306,1.7825,0.21,545.44
PO-2024-0000255,2,PROD_000416,296,1.1038,0.1,326.72
PO-2024-0000256,1,PROD_003521,342,2.4428,0.21,835.44
PO-2024-0000257,1,PROD_000180,340,3.701,0.04,1258.34
PO-2024-0000258,1,PROD_003132,205,0.7239,0.21,148.4
PO-2024-0000259,1,PROD_003630,326,0.8502,0.1,277.17
PO-2024-0000260,1,PROD_001695,229,2.6571,0.1,608.48
PO-2024-0000261,1,PROD_003292,175,0.5796,0.21,101.43
PO-2024-0000262,1,PROD_003491,247,0.8202,0.21,202.59
PO-2024-0000263,1,PROD_001820,338,1.5963,0.1,539.55
PO-2024-0000264,1,PROD_000450,295,2.0801,0.1,613.63
PO-2024-0000265,1,PROD_002140,232,0.253,0.21,58.7
PO-2024-0000266,1,PROD_000662,157,2.1528,0.04,337.99
PO-2024-0000267,1,PROD_002144,108,1.3028,0.04,140.7
PO-2024-0000267,2,PROD_000425,276,0.9388,0.04,259.11
PO-2024-0000268,1,PROD_001055,179,1.0404,0.1,186.23
PO-2024-0000269,1,PROD_003012,138,0.6052,0.21,83.52
PO-2024-0000270,1,PROD_000229,264,2.0365,0.1,537.64
PO-2024-0000271,1,PROD_002331,364,1.644,0.04,598.42
PO-2024-0000272,1,PROD_002086,207,1.7022,0.1,352.36
PO-2024-0000273,1,PROD_003496,422,1.1623,0.21,490.49
PO-2024-0000274,1,PROD_001666,318,1.8599,0.1,591.45
PO-2024-0000274,2,PROD_001784,207,0.997,0.1,206.38
PO-2024-0000275,1,PROD_001482,276,1.1129,0.1,307.16
PO-2024-0000276,1,PROD_002779,213,3.5126,0.21,748.18
PO-2024-0000277,1,PROD_000058,264,2.5613,0.21,676.18
PO-2024-0000278,1,PROD_000171,549,0.8985,0.21,493.28
PO-2024-0000278,2,PROD_002284,310,1.799,0.21,557.69
PO-2024-0000279,1,PROD_001698,266,0.6687,0.1,177.87
PO-2024-0000280,1,PROD_000664,280,2.173,0.1,608.44
PO-2024-0000281,1,PROD_002750,265,2.5285,0.1,670.05
PO-2024-0000282,1,PROD_001924,350,0.3146,0.21,110.11
PO-2024-0000283,1,PROD_003652,456,1.1643,0.1,530.92
PO-2024-0000284,1,PROD_003518,173,0.8845,0.21,153.02
PO-2024-0000285,1,PROD_003680,328,0.9157,0.04,300.35
PO-2024-0000286,1,PROD_002561,393,0.9302,0.1,365.57
PO-2024-0000287,1,PROD_002098,335,6.1503,0.1,2060.35
PO-2024-0000287,2,PROD_000373,313,1.7188,0.1,537.98
PO-2024-0000288,1,PROD_002899,264,1.0224,0.21,269.91
PO-2024-0000289,1,PROD_003023,278,0.8549,0.21,237.66
PO-2024-0000290,1,PROD_000775,208,1.0239,0.21,212.97
PO-2024-0000291,1,PROD_001909,171,2.323,0.1,397.23
PO-2024-0000291,2,PROD_002882,140,0.9538,0.1,133.53
PO-2024-0000292,1,PROD_001024,210,0.7268,0.04,152.63
PO-2024-0000293,1,PROD_001985,249,1.3231,0.1,329.45
PO-2024-0000294,1,PROD_003601,287,8.4481,0.1,2424.6
PO-2024-0000295,1,PROD_002958,415,0.7567,0.21,314.03
PO-2024-0000296,1,PROD_002524,143,1.0164,0.04,145.35
PO-2024-0000296,2,PROD_000810,311,1.2881,0.04,400.6
PO-2024-0000296,3,PROD_001851,106,1.8048,0.21,191.31
PO-2024-0000296,4,PROD_002071,184,1.3031,0.21,239.77
PO-2024-0000297,1,PROD_001108,167,1.51,0.1,252.17
PO-2024-0000297,2,PROD_002563,309,0.8413,0.1,259.96
PO-2024-0000297,3,PROD_000797,347,1.1322,0.1,392.87
PO-2024-0000297,4,PROD_003120,169,1.2844,0.21,217.06
PO-2024-0000297,5,PROD_002734,178,0.6311,0.21,112.34
PO-2024-0000298,1,PROD_001467,123,1.0265,0.1,126.26
PO-2024-0000299,1,PROD_002977,280,1.2848,0.21,359.74
PO-2024-0000300,1,PROD_000214,202,2.2148,0.21,447.39
PO-2024-0000301,1,PROD_003049,327,1.128,0.21,368.86
PO-2024-0000302,1,PROD_000544,145,1.0954,0.04,158.83
PO-2024-0000303,1,PROD_003128,163,1.0111,0.21,164.81
PO-2024-0000304,1,PROD_001646,208,3.1767,0.1,660.75
PO-2024-0000305,1,PROD_001852,378,4.8981,0.04,1851.48
PO-2024-0000305,2,PROD_000359,396,3.9634,0.04,1569.51
PO-2024-0000305,3,PROD_001243,499,1.7598,0.21,878.14
PO-2024-0000305,4,PROD_001354,177,0.2982,0.21,52.78
PO-2024-0000306,1,PROD_002162,224,2.1665,0.1,485.3
PO-2024-0000307,1,PROD_002774,588,0.9117,0.21,536.08
PO-2024-0000308,1,PROD_000222,456,0.5742,0.04,261.84
