po_id,supplier_id,dc_id,order_date,expected_receipt_date,actual_receipt_date,status,incoterm,payment_terms,currency,total_cost_net,tax_amount,total_cost_gross
PO-2024-0000043,SUP_00007,DC_VLC,2024-01-08,2024-01-11,2024-01-11,received,DAP,30D,EUR,112.65,23.66,136.31
PO-2024-0000044,SUP_00019,DC_BCN,2024-01-08,2024-01-10,2024-01-10,received,DAP,30D,EUR,440.31,44.03,484.34
PO-2024-0000045,SUP_00017,DC_BCN,2024-01-09,2024-01-18,2024-01-18,received,DAP,30D,EUR,539.11,53.91,593.02
PO-2024-0000046,SUP_00014,DC_BCN,2024-01-09,2024-01-18,2024-01-18,received,DAP,30D,EUR,792.11,79.21,871.32
PO-2024-0000047,SUP_00004,DC_VLC,2024-01-09,2024-01-17,2024-01-17,received,DAP,30D,EUR,154.75,32.5,187.25
PO-2024-0000048,SUP_00016,DC_VLC,2024-01-09,2024-01-15,2024-01-15,received,DAP,30D,EUR,644.27,135.3,779.57
PO-2024-0000049,SUP_00007,DC_ZGZ,2024-01-10,2024-01-13,2024-01-13,received,DAP,30D,EUR,588.64,23.55,612.19
PO-2024-0000050,SUP_00016,DC_ZGZ,2024-01-10,2024-01-15,2024-01-15,received,DAP,30D,EUR,317.75,66.73,384.48
PO-2024-0000051,SUP_00015,DC_SEV,2024-01-10,2024-01-13,2024-01-13,received,DAP,30D,EUR,275.59,11.02,286.61
PO-2024-0000052,SUP_00016,DC_BCN,2024-01-10,2024-01-15,2024-01-15,received,DAP,30D,EUR,685.92,144.04,829.96
PO-2024-0000053,SUP_00019,DC_BCN,2024-01-10,2024-01-12,2024-01-12,received,DAP,30D,EUR,198.49,19.85,218.34
PO-2024-0000054,SUP_00007,DC_BCN,2024-01-10,2024-01-13,2024-01-13,received,DAP,30D,EUR,906.53,190.37,1096.9
PO-2024-0000055,SUP_00007,DC_VLC,2024-01-11,2024-01-14,2024-01-14,received,DAP,30D,EUR,361.68,14.47,376.15
PO-2024-0000056,SUP_00019,DC_VLC,2024-01-11,2024-01-13,2024-01-13,received,DAP,30D,EUR,1908.78,190.88,2099.66
PO-2024-0000057,SUP_00007,DC_ZGZ,2024-01-12,2024-01-15,2024-01-15,received,DAP,30D,EUR,516.74,20.67,537.41
PO-2024-0000058,SUP_00014,DC_ZGZ,2024-01-12,2024-01-21,2024-01-21,received,DAP,30D,EUR,405.02,40.5,445.52
PO-2024-0000059,SUP_00017,DC_ZGZ,2024-01-12,2024-01-21,2024-01-21,received,DAP,30D,EUR,573.13,57.31,630.44
PO-2024-0000060,SUP_00017,DC_SEV,2024-01-12,2024-01-19,2024-01-19,received,DAP,30D,EUR,394.98,39.5,434.48
PO-2024-0000061,SUP_00007,DC_SEV,2024-01-12,2024-01-15,2024-01-15,received,DAP,30D,EUR,380.64,15.23,395.87
PO-2024-0000062,SUP_00004,DC_SEV,2024-01-12,2024-01-23,2024-01-23,received,DAP,30D,EUR,322.52,67.73,390.25
PO-2024-0000063,SUP_00016,DC_SEV,2024-01-13,2024-01-18,2024-01-18,received,DAP,30D,EUR,1228.95,122.9,1351.85
PO-2024-0000064,SUP_00017,DC_BCN,2024-01-13,2024-01-20,2024-01-20,received,DAP,30D,EUR,388.44,38.84,427.28
PO-2024-0000065,SUP_00014,DC_MAD,2024-01-13,2024-01-24,2024-01-24,received,DAP,30D,EUR,2098.95,209.89,2308.84
PO-2024-0000066,SUP_00016,DC_BCN,2024-01-13,2024-01-18,2024-01-18,received,DAP,30D,EUR,265.15,26.52,291.67
PO-2024-0000067,SUP_00007,DC_BCN,2024-01-13,2024-01-16,2024-01-16,received,DAP,30D,EUR,1039.29,41.57,1080.86
PO-2024-0000068,SUP_00016,DC_ZGZ,2024-01-14,2024-01-19,2024-01-19,received,DAP,30D,EUR,514.11,107.96,622.07
PO-2024-0000069,SUP_00019,DC_ZGZ,2024-01-14,2024-01-16,2024-01-16,received,DAP,30D,EUR,584.52,58.45,642.97
PO-2024-0000070,SUP_00014,DC_MAD,2024-01-14,2024-01-25,2024-01-25,received,DAP,30D,EUR,2355.44,235.54,2590.98
PO-2024-0000071,SUP_00004,DC_MAD,2024-01-14,2024-01-24,2024-01-24,received,DAP,30D,EUR,157.96,33.17,191.13
PO-2024-0000072,SUP_00015,DC_MAD,2024-01-15,2024-01-18,2024-01-18,received,DAP,30D,EUR,541.35,21.65,563.0
PO-2024-0000073,SUP_00004,DC_VLC,2024-01-15,2024-01-27,2024-01-27,received,DAP,30D,EUR,428.74,90.04,518.78
PO-2024-0000074,SUP_00016,DC_VLC,2024-01-15,2024-01-21,2024-01-21,received,DAP,30D,EUR,567.81,119.24,687.05
PO-2024-0000075,SUP_00014,DC_VLC,2024-01-15,2024-01-27,2024-01-27,received,DAP,30D,EUR,956.57,95.66,1052.23
PO-2024-0000076,SUP_00016,DC_ZGZ,2024-01-16,2024-01-21,2024-01-21,received,DAP,30D,EUR,605.4,127.13,732.53
PO-2024-0000077,SUP_00015,DC_BCN,2024-01-16,2024-01-19,2024-01-19,received,DAP,30D,EUR,269.74,10.79,280.53
PO-2024-0000078,SUP_00015,DC_BCN,2024-01-17,2024-01-20,2024-01-20,received,DAP,30D,EUR,917.99,36.72,954.71
PO-2024-0000079,SUP_00007,DC_BCN,2024-01-17,2024-01-20,2024-01-20,received,DAP,30D,EUR,449.96,18.0,467.96
PO-2024-0000080,SUP_00017,DC_BCN,2024-01-17,2024-01-27,2024-01-27,received,DAP,30D,EUR,1234.57,123.46,1358.03
PO-2024-0000081,SUP_00014,DC_BCN,2024-01-17,2024-01-29,2024-01-29,received,DAP,30D,EUR,1893.13,189.31,2082.44
PO-2024-0000082,SUP_00017,DC_SEV,2024-01-17,2024-01-24,2024-01-24,received,DAP,30D,EUR,303.09,30.31,333.4
PO-2024-0000083,SUP_00004,DC_BCN,2024-01-17,2024-01-29,2024-01-29,received,DAP,30D,EUR,114.34,24.01,138.35
PO-2024-0000084,SUP_00016,DC_MAD,2024-01-17,2024-01-22,2024-01-22,received,DAP,30D,EUR,680.58,142.92,823.5
PO-2024-0000085,SUP_00017,DC_MAD,2024-01-17,2024-01-26,2024-01-26,received,DAP,30D,EUR,461.06,46.11,507.17
PO-2024-0000086,SUP_00005,DC_MAD,2024-01-17,2024-01-21,2024-01-21,received,DAP,30D,EUR,215.08,21.51,236.59
PO-2024-0000087,SUP_00007,DC_VLC,2024-01-17,2024-01-20,2024-01-20,received,DAP,30D,EUR,149.17,31.33,180.5
PO-2024-0000088,SUP_00014,DC_BCN,2024-01-19,2024-01-29,2024-01-29,received,DAP,30D,EUR,420.46,42.05,462.51
PO-2024-0000089,SUP_00004,DC_MAD,2024-01-19,2024-01-29,2024-01-29,received,DAP,30D,EUR,359.11,75.41,434.52
PO-2024-0000090,SUP_00016,DC_BCN,2024-01-20,2024-01-25,2024-01-25,received,DAP,30D,EUR,661.43,116.69,778.12
PO-2024-0000091,SUP_00007,DC_BCN,2024-01-20,2024-01-23,2024-01-23,received,DAP,30D,EUR,1328.81,69.84,1398.65
PO-2024-0000092,SUP_00004,DC_BCN,2024-01-20,2024-01-29,2024-01-29,received,DAP,30D,EUR,215.77,45.31,261.08
PO-2024-0000093,SUP_00016,DC_VLC,2024-01-20,2024-01-26,2024-01-26,received,DAP,30D,EUR,582.13,122.25,704.38
PO-2024-0000094,SUP_00016,DC_SEV,2024-01-21,2024-01-27,2024-01-27,received,DAP,30D,EUR,651.4,116.37,767.77
PO-2024-0000095,SUP_00007,DC_BCN,2024-01-23,2024-01-26,2024-01-26,received,DAP,30D,EUR,365.91,14.64,380.55
PO-2024-0000096,SUP_00017,DC_BCN,2024-01-23,2024-01-30,2024-01-30,received,DAP,30D,EUR,1475.14,147.51,1622.65
PO-2024-0000097,SUP_00014,DC_BCN,2024-01-23,2024-02-03,2024-02-03,received,DAP,30D,EUR,569.78,56.98,626.76
PO-2024-0000098,SUP_00017,DC_MAD,2024-01-23,2024-02-01,2024-02-01,received,DAP,30D,EUR,295.34,29.53,324.87
PO-2024-0000099,SUP_00015,DC_MAD,2024-01-23,2024-01-26,2024-01-26,received,DAP,30D,EUR,590.5,23.62,614.12
PO-2024-0000100,SUP_00004,DC_VLC,2024-01-23,2024-02-02,2024-02-02,received,DAP,30D,EUR,220.56,46.32,266.88
PO-2024-0000101,SUP_00015,DC_VLC,2024-01-23,2024-01-26,2024-01-26,received,DAP,30D,EUR,173.84,6.95,180.79
PO-2024-0000102,SUP_00014,DC_ZGZ,2024-01-23,2024-02-02,2024-02-02,received,DAP,30D,EUR,529.58,52.96,582.54
PO-2024-0000103,SUP_00007,DC_ZGZ,2024-01-23,2024-01-26,2024-01-26,received,DAP,30D,EUR,2305.11,178.16,2483.27
PO-2024-0000104,SUP_00014,DC_SEV,2024-01-25,2024-02-04,2024-02-04,received,DAP,30D,EUR,2571.23,257.12,2828.35
PO-2024-0000105,SUP_00005,DC_SEV,2024-01-25,2024-01-28,2024-01-28,received,DAP,30D,EUR,847.23,84.72,931.95
PO-2024-0000106,SUP_00007,DC_SEV,2024-01-25,2024-01-29,2024-01-29,received,DAP,30D,EUR,139.17,29.23,168.4
PO-2024-0000107,SUP_00017,DC_BCN,2024-01-25,2024-02-01,2024-02-01,received,DAP,30D,EUR,153.6,15.36,168.96
PO-2024-0000108,SUP_00019,DC_BCN,2024-01-25,2024-01-27,2024-01-27,received,DAP,30D,EUR,303.42,30.34,333.76
PO-2024-0000109,SUP_00007,DC_BCN,2024-01-25,2024-01-27,2024-01-27,received,DAP,30D,EUR,648.7,25.95,674.65
PO-2024-0000110,SUP_00019,DC_SEV,2024-01-25,2024-01-27,2024-01-27,received,DAP,30D,EUR,324.69,32.47,357.16
PO-2024-0000111,SUP_00015,DC_SEV,2024-01-25,2024-01-29,2024-01-29,received,DAP,30D,EUR,138.29,5.53,143.82
PO-2024-0000112,SUP_00015,DC_BCN,2024-01-26,2024-01-29,2024-01-29,received,DAP,30D,EUR,303.15,12.13,315.28
PO-2024-0000113,SUP_00004,DC_VLC,2024-01-26,2024-02-05,2024-02-05,received,DAP,30D,EUR,193.47,40.63,234.1
PO-2024-0000114,SUP_00014,DC_VLC,2024-01-26,2024-02-04,2024-02-04,received,DAP,30D,EUR,1901.76,190.18,2091.94
PO-2024-0000115,SUP_00016,DC_VLC,2024-01-26,2024-01-31,2024-01-31,received,DAP,30D,EUR,798.86,167.76,966.62
PO-2024-0000116,SUP_00015,DC_VLC,2024-01-26,2024-01-29,2024-01-29,received,DAP,30D,EUR,158.43,6.34,164.77
PO-2024-0000117,SUP_00014,DC_BCN,2024-01-27,2024-02-07,2024-02-07,received,DAP,30D,EUR,1062.35,106.23,1168.58
PO-2024-0000118,SUP_00016,DC_BCN,2024-01-27,2024-02-02,2024-02-02,received,DAP,30D,EUR,1053.64,221.26,1274.9
PO-2024-0000119,SUP_00017,DC_BCN,2024-01-27,2024-02-02,2024-02-02,received,DAP,30D,EUR,1115.15,111.52,1226.67
PO-2024-0000120,SUP_00007,DC_BCN,2024-01-27,2024-01-30,2024-01-30,received,DAP,30D,EUR,124.48,26.14,150.62
PO-2024-0000121,SUP_00004,DC_ZGZ,2024-01-27,2024-02-06,2024-02-06,received,DAP,30D,EUR,1293.87,271.71,1565.58
PO-2024-0000122,SUP_00017,DC_ZGZ,2024-01-27,2024-02-05,2024-02-05,received,DAP,30D,EUR,675.73,67.57,743.3
PO-2024-0000123,SUP_00015,DC_ZGZ,2024-01-27,2024-01-30,2024-01-30,received,DAP,30D,EUR,166.53,6.66,173.19
PO-2024-0000124,SUP_00016,DC_ZGZ,2024-01-27,2024-01-31,2024-01-31,received,DAP,30D,EUR,190.66,40.04,230.7
PO-2024-0000125,SUP_00004,DC_BCN,2024-01-27,2024-02-07,2024-02-07,received,DAP,30D,EUR,360.57,75.72,436.29
PO-2024-0000126,SUP_00005,DC_SEV,2024-01-27,2024-01-31,2024-01-31,received,DAP,30D,EUR,180.49,18.05,198.54
PO-2024-0000127,SUP_00016,DC_SEV,2024-01-27,2024-01-31,2024-01-31,received,DAP,30D,EUR,902.86,189.6,1092.46
PO-2024-0000128,SUP_00004,DC_VLC,2024-01-27,2024-02-05,2024-02-05,received,DAP,30D,EUR,168.41,35.37,203.78
PO-2024-0000129,SUP_00019,DC_ZGZ,2024-01-27,2024-01-29,2024-01-29,received,DAP,30D,EUR,2393.21,239.32,2632.53
PO-2024-0000130,SUP_00007,DC_BCN,2024-01-28,2024-01-31,2024-01-31,received,DAP,30D,EUR,2257.29,90.29,2347.58
PO-2024-0000131,SUP_00007,DC_SEV,2024-01-28,2024-01-31,2024-01-31,received,DAP,30D,EUR,457.15,18.29,475.44
PO-2024-0000132,SUP_00019,DC_SEV,2024-01-28,2024-01-30,2024-01-30,received,DAP,30D,EUR,2370.9,237.09,2607.99
PO-2024-0000133,SUP_00015,DC_SEV,2024-01-28,2024-01-31,2024-01-31,received,DAP,30D,EUR,190.4,7.62,198.02
PO-2024-0000134,SUP_00017,DC_SEV,2024-01-28,2024-02-06,2024-02-06,received,DAP,30D,EUR,780.78,78.08,858.86
PO-2024-0000135,SUP_00017,DC_BCN,2024-01-29,2024-02-05,2024-02-05,received,DAP,30D,EUR,444.09,44.41,488.5
PO-2024-0000136,SUP_00017,DC_ZGZ,2024-01-29,2024-02-05,2024-02-05,received,DAP,30D,EUR,568.65,56.87,625.52
PO-2024-0000137,SUP_00019,DC_ZGZ,2024-01-29,2024-01-31,2024-01-31,received,DAP,30D,EUR,873.16,87.32,960.48
PO-2024-0000138,SUP_00004,DC_ZGZ,2024-01-29,2024-02-09,2024-02-09,received,DAP,30D,EUR,299.47,62.89,362.36
PO-2024-0000139,SUP_00015,DC_ZGZ,2024-01-29,2024-02-01,2024-02-01,received,DAP,30D,EUR,451.08,18.04,469.12
PO-2024-0000140,SUP_00014,DC_ZGZ,2024-01-29,2024-02-08,2024-02-08,received,DAP,30D,EUR,564.74,56.47,621.21
PO-2024-0000141,SUP_00004,DC_BCN,2024-01-29,2024-02-08,2024-02-08,received,DAP,30D,EUR,229.3,48.15,277.45
PO-2024-0000142,SUP_00016,DC_VLC,2024-01-29,2024-02-03,2024-02-03,received,DAP,30D,EUR,257.32,25.73,283.05
PO-2024-0000143,SUP_00016,DC_MAD,2024-01-30,2024-02-05,2024-02-05,received,DAP,30D,EUR,1298.88,272.76,1571.64
PO-2024-0000144,SUP_00004,DC_MAD,2024-01-30,2024-02-10,2024-02-10,received,DAP,30D,EUR,410.6,86.23,496.83
PO-2024-0000145,SUP_00014,DC_MAD,2024-01-30,2024-02-10,2024-02-10,received,DAP,30D,EUR,1285.2,128.52,1413.72
PO-2024-0000146,SUP_00007,DC_MAD,2024-01-30,2024-02-02,2024-02-02,received,DAP,30D,EUR,791.72,31.67,823.39
PO-2024-0000147,SUP_00007,DC_BCN,2024-01-30,2024-02-02,2024-02-02,received,DAP,30D,EUR,261.5,10.46,271.96
PO-2024-0000148,SUP_00016,DC_BCN,2024-01-30,2024-02-04,2024-02-04,received,DAP,30D,EUR,59.9,12.58,72.48
PO-2024-0000149,SUP_00004,DC_BCN,2024-01-30,2024-02-11,2024-02-11,received,DAP,30D,EUR,325.62,68.38,394.0
PO-2024-0000150,SUP_00019,DC_BCN,2024-01-30,2024-02-01,2024-02-01,received,DAP,30D,EUR,476.15,47.62,523.77
PO-2024-0000151,SUP_00007,DC_BCN,2024-01-31,2024-02-03,2024-02-03,received,DAP,30D,EUR,1676.38,159.84,1836.22
PO-2024-0000152,SUP_00014,DC_BCN,2024-01-31,2024-02-09,2024-02-09,received,DAP,30D,EUR,1909.72,190.97,2100.69
PO-2024-0000153,SUP_00004,DC_MAD,2024-01-31,2024-02-11,2024-02-11,received,DAP,30D,EUR,908.07,190.69,1098.76
PO-2024-0000154,SUP_00019,DC_BCN,2024-01-31,2024-02-02,2024-02-02,received,DAP,30D,EUR,2311.81,231.18,2542.99
PO-2024-0000155,SUP_00015,DC_BCN,2024-01-31,2024-02-03,2024-02-03,received,DAP,30D,EUR,1043.38,41.74,1085.12
PO-2024-0000156,SUP_00016,DC_BCN,2024-01-31,2024-02-06,2024-02-06,received,DAP,30D,EUR,236.89,49.75,286.64
PO-2024-0000157,SUP_00019,DC_ZGZ,2024-01-31,2024-02-02,2024-02-02,received,DAP,30D,EUR,420.42,42.04,462.46
PO-2024-0000158,SUP_00007,DC_ZGZ,2024-01-31,2024-02-03,2024-02-03,received,DAP,30D,EUR,880.03,35.2,915.23
PO-2024-0000159,SUP_00014,DC_BCN,2024-02-01,2024-02-12,2024-02-12,received,DAP,30D,EUR,201.67,20.17,221.84
PO-2024-0000160,SUP_00007,DC_BCN,2024-02-01,2024-02-04,2024-02-04,received,DAP,30D,EUR,282.27,11.29,293.56
PO-2024-0000161,SUP_00004,DC_BCN,2024-02-01,2024-02-10,2024-02-10,received,DAP,30D,EUR,244.01,51.24,295.25
PO-2024-0000162,SUP_00014,DC_SEV,2024-02-01,2024-02-10,2024-02-10,received,DAP,30D,EUR,155.98,15.6,171.58
PO-2024-0000163,SUP_00015,DC_SEV,2024-02-01,2024-02-04,2024-02-04,received,DAP,30D,EUR,293.98,11.76,305.74
PO-2024-0000164,SUP_00007,DC_SEV,2024-02-01,2024-02-04,2024-02-04,received,DAP,30D,EUR,941.11,197.63,1138.74
PO-2024-0000165,SUP_00016,DC_SEV,2024-02-01,2024-02-05,2024-02-05,received,DAP,30D,EUR,288.3,28.83,317.13
PO-2024-0000166,SUP_00015,DC_ZGZ,2024-02-02,2024-02-05,2024-02-05,received,DAP,30D,EUR,762.6,30.5,793.1
PO-2024-0000167,SUP_00016,DC_ZGZ,2024-02-02,2024-02-08,2024-02-08,received,DAP,30D,EUR,1661.38,319.32,1980.7
PO-2024-0000168,SUP_00007,DC_SEV,2024-02-02,2024-02-05,2024-02-05,received,DAP,30D,EUR,1101.26,153.46,1254.72
PO-2024-0000169,SUP_00014,DC_ZGZ,2024-02-02,2024-02-12,2024-02-12,received,DAP,30D,EUR,3088.24,308.82,3397.06
PO-2024-0000170,SUP_00007,DC_ZGZ,2024-02-02,2024-02-05,2024-02-05,received,DAP,30D,EUR,279.92,11.2,291.12
PO-2024-0000171,SUP_00004,DC_ZGZ,2024-02-02,2024-02-10,2024-02-10,received,DAP,30D,EUR,327.25,68.72,395.97
PO-2024-0000172,SUP_00019,DC_ZGZ,2024-02-02,2024-02-04,2024-02-04,received,DAP,30D,EUR,301.86,30.19,332.05
PO-2024-0000173,SUP_00015,DC_SEV,2024-02-02,2024-02-06,2024-02-06,received,DAP,30D,EUR,315.98,12.64,328.62
PO-2024-0000174,SUP_00014,DC_SEV,2024-02-02,2024-02-12,2024-02-12,received,DAP,30D,EUR,425.87,42.59,468.46
PO-2024-0000175,SUP_00007,DC_VLC,2024-02-02,2024-02-05,2024-02-05,received,DAP,30D,EUR,211.87,44.49,256.36
PO-2024-0000176,SUP_00016,DC_SEV,2024-02-03,2024-02-07,2024-02-07,received,DAP,30D,EUR,633.27,63.33,696.6
PO-2024-0000177,SUP_00014,DC_ZGZ,2024-02-04,2024-02-12,2024-02-12,received,DAP,30D,EUR,362.35,36.24,398.59
PO-2024-0000178,SUP_00014,DC_MAD,2024-02-05,2024-02-16,2024-02-16,received,DAP,30D,EUR,3779.08,377.91,4156.99
PO-2024-0000179,SUP_00017,DC_MAD,2024-02-05,2024-02-12,2024-02-12,received,DAP,30D,EUR,832.17,83.22,915.39
PO-2024-0000180,SUP_00019,DC_BCN,2024-02-05,2024-02-07,2024-02-07,received,DAP,30D,EUR,324.35,32.44,356.79
PO-2024-0000181,SUP_00007,DC_VLC,2024-02-06,2024-02-09,2024-02-09,received,DAP,30D,EUR,507.39,20.3,527.69
PO-2024-0000182,SUP_00014,DC_VLC,2024-02-06,2024-02-16,2024-02-16,received,DAP,30D,EUR,2125.27,212.53,2337.8
PO-2024-0000183,SUP_00017,DC_VLC,2024-02-06,2024-02-15,2024-02-15,received,DAP,30D,EUR,293.33,29.33,322.66
PO-2024-0000184,SUP_00016,DC_BCN,2024-02-06,2024-02-11,2024-02-11,received,DAP,30D,EUR,281.02,59.01,340.03
PO-2024-0000185,SUP_00017,DC_ZGZ,2024-02-07,2024-02-16,2024-02-16,received,DAP,30D,EUR,172.52,17.25,189.77
PO-2024-0000186,SUP_00007,DC_MAD,2024-02-07,2024-02-10,2024-02-10,received,DAP,30D,EUR,1929.84,77.19,2007.03
PO-2024-0000187,SUP_00016,DC_BCN,2024-02-07,2024-02-11,2024-02-11,received,DAP,30D,EUR,588.65,87.46,676.11
PO-2024-0000188,SUP_00014,DC_MAD,2024-02-07,2024-02-17,2024-02-17,received,DAP,30D,EUR,1102.66,110.27,1212.93
PO-2024-0000189,SUP_00015,DC_BCN,2024-02-07,2024-02-10,2024-02-10,received,DAP,30D,EUR,262.37,10.49,272.86
PO-2024-0000190,SUP_00007,DC_BCN,2024-02-07,2024-02-10,2024-02-10,received,DAP,30D,EUR,270.5,10.82,281.32
PO-2024-0000191,SUP_00015,DC_ZGZ,2024-02-08,2024-02-11,2024-02-11,received,DAP,30D,EUR,256.19,10.25,266.44
PO-2024-0000192,SUP_00004,DC_SEV,2024-02-08,2024-02-18,2024-02-18,received,DAP,30D,EUR,773.09,162.35,935.44
PO-2024-0000193,SUP_00007,DC_BCN,2024-02-08,2024-02-11,2024-02-11,received,DAP,30D,EUR,845.32,33.81,879.13
PO-2024-0000194,SUP_00016,DC_ZGZ,2024-02-08,2024-02-14,2024-02-14,received,DAP,30D,EUR,113.6,23.86,137.46
PO-2024-0000195,SUP_00019,DC_BCN,2024-02-08,2024-02-10,2024-02-10,received,DAP,30D,EUR,254.27,25.43,279.7
