waste_id,date,product_id,category,location_type,location_id,quantity,unit_cost,lost_cost,reason
WST-2024-00000103,2024-09-14,PROD_000294,panaderia,DC,DC_MAD,1,1.2986,1.3,caducidad
WST-2024-00000104,2024-09-14,PROD_001352,congelados,STORE,ST_00938,2,12.5012,25.0,caducidad
WST-2024-00000105,2024-09-19,PROD_001322,carne_pescado,STORE,ST_00952,1,1.8222,1.82,caducidad
WST-2024-00000106,2024-09-22,PROD_001014,carne_pescado,DC,DC_MAD,1,3.2205,3.22,caducidad
WST-2024-00000107,2024-09-23,PROD_002064,lacteos,DC,DC_BCN,1,1.3365,1.34,caducidad
WST-2024-00000108,2024-09-25,PROD_001292,carne_pescado,STORE,ST_00952,2,5.1462,10.29,caducidad
WST-2024-00000109,2024-09-27,PROD_001404,congelados,DC,DC_ZGZ,1,14.8606,14.86,caducidad
WST-2024-00000110,2024-10-05,PROD_001697,congelados,STORE,ST_00076,1,3.4249,3.42,caducidad
WST-2024-00000111,2024-10-10,PROD_000562,panaderia,STORE,ST_00981,1,1.1034,1.1,caducidad
WST-2024-00000112,2024-10-12,PROD_002650,infantil,STORE,ST_00952,1,2.2455,2.25,caducidad
WST-2024-00000113,2024-10-16,PROD_002015,carne_pescado,STORE,ST_00981,1,1.9036,1.9,caducidad
WST-2024-00000114,2024-10-22,PROD_001672,carne_pescado,STORE,ST_00981,2,1.5609,3.12,caducidad
WST-2024-00000115,2024-10-22,PROD_002460,carne_pescado,STORE,ST_00938,1,3.9418,3.94,caducidad
WST-2024-00000116,2024-10-26,PROD_002317,panaderia,DC,DC_MAD,1,1.1905,1.19,caducidad
WST-2024-00000117,2024-10-27,PROD_000340,carne_pescado,DC,DC_SEV,1,1.2948,1.29,caducidad
WST-2024-00000118,2024-11-02,PROD_001559,carne_pescado,DC,DC_BCN,1,5.3962,5.4,caducidad
WST-2024-00000119,2024-11-04,PROD_003593,infantil,STORE,ST_00076,1,0.6671,0.67,caducidad
WST-2024-00000120,2024-11-06,PROD_000558,lacteos,STORE,ST_00938,1,1.2926,1.29,caducidad
WST-2024-00000121,2024-11-14,PROD_002052,panaderia,DC,DC_VLC,1,0.9999,1.0,caducidad
WST-2024-00000122,2024-11-15,PROD_002359,congelados,DC,DC_SEV,1,2.6105,2.61,caducidad
WST-2024-00000123,2024-11-15,PROD_002609,lacteos,DC,DC_BCN,1,0.7233,0.72,caducidad
WST-2024-00000124,2024-11-21,PROD_001894,carne_pescado,STORE,ST_00076,1,6.6743,6.67,caducidad
WST-2024-00000125,2024-11-28,PROD_001362,carne_pescado,STORE,ST_00938,1,1.5664,1.57,caducidad
WST-2024-00000126,2024-12-04,PROD_000380,panaderia,STORE,ST_00938,1,2.1494,2.15,caducidad
WST-2024-00000127,2024-12-05,PROD_002018,carne_pescado,STORE,ST_00076,2,7.5161,15.03,caducidad
WST-2024-00000128,2024-12-07,PROD_000633,panaderia,STORE,ST_00076,1,1.1107,1.11,caducidad
WST-2024-00000129,2024-12-09,PROD_002102,carne_pescado,STORE,ST_00938,1,2.1209,2.12,caducidad
WST-2024-00000130,2024-12-12,PROD_000551,carne_pescado,STORE,ST_00981,2,1.4157,2.83,caducidad
WST-2024-00000131,2024-12-12,PROD_003085,infantil,STORE,ST_00981,2,5.0477,10.1,caducidad
WST-2024-00000132,2024-12-17,PROD_001034,carne_pescado,DC,DC_SEV,2,2.8515,5.7,caducidad
WST-2024-00000133,2024-12-23,PROD_001887,congelados,DC,DC_VLC,2,1.4946,2.99,caducidad
WST-2024-00000134,2024-12-24,PROD_001323,lacteos,STORE,ST_01294,2,0.8504,1.7,caducidad
WST-2024-00000135,2024-12-29,PROD_000411,congelados,DC,DC_ZGZ,2,3.5594,7.12,caducidad
WST-2024-00000136,2024-12-30,PROD_003637,carne_pescado,DC,DC_ZGZ,1,1.9792,1.98,caducidad
