payment_id,po_id,supplier_id,dc_id,obligation_date,due_date,payment_date,amount_net,amount_gross,status,days_late
SP-2024-0000122,PO-2024-0000122,SUP_00017,DC_ZGZ,2024-01-27,2024-02-26,2024-02-26,675.73,743.3,paid,0
SP-2024-0000125,PO-2024-0000125,SUP_00004,DC_BCN,2024-01-27,2024-02-26,2024-02-26,360.57,436.29,paid,0
SP-2024-0000126,PO-2024-0000126,SUP_00005,DC_SEV,2024-01-27,2024-02-26,2024-02-26,180.49,198.54,paid,0
SP-2024-0000128,PO-2024-0000128,SUP_00004,DC_VLC,2024-01-27,2024-02-26,2024-02-26,168.41,203.78,paid,0
SP-2024-0000134,PO-2024-0000134,SUP_00017,DC_SEV,2024-01-28,2024-02-27,2024-02-27,780.78,858.86,paid,0
SP-2024-0000135,PO-2024-0000135,SUP_00017,DC_BCN,2024-01-29,2024-02-28,2024-02-28,444.09,488.5,paid,0
SP-2024-0000136,PO-2024-0000136,SUP_00017,DC_ZGZ,2024-01-29,2024-02-28,2024-02-28,568.65,625.52,paid,0
SP-2024-0000138,PO-2024-0000138,SUP_00004,DC_ZGZ,2024-01-29,2024-02-28,2024-02-28,299.47,362.36,paid,0
SP-2024-0000141,PO-2024-0000141,SUP_00004,DC_BCN,2024-01-29,2024-02-28,2024-03-01,229.3,277.45,paid,2
SP-2024-0000144,PO-2024-0000144,SUP_00004,DC_MAD,2024-01-30,2024-02-29,2024-02-29,410.6,496.83,paid,0
SP-2024-0000149,PO-2024-0000149,SUP_00004,DC_BCN,2024-01-30,2024-02-29,2024-02-29,325.62,394.0,paid,0
SP-2024-0000001,PO-2024-0000001,SUP_00016,DC_BCN,2024-01-01,2024-03-01,2024-03-01,147.86,162.65,paid,0
SP-2024-0000004,PO-2024-0000004,SUP_00007,DC_SEV,2024-01-01,2024-03-01,2024-03-01,289.58,350.39,paid,0
SP-2024-0000008,PO-2024-0000008,SUP_00007,DC_ZGZ,2024-01-01,2024-03-01,2024-03-01,192.04,232.37,paid,0
SP-2024-0000010,PO-2024-0000010,SUP_00016,DC_ZGZ,2024-01-01,2024-03-01,2024-03-01,643.97,743.19,paid,0
SP-2024-0000153,PO-2024-0000153,SUP_00004,DC_MAD,2024-01-31,2024-03-01,2024-03-01,908.07,1098.76,paid,0
SP-2024-0000011,PO-2024-0000011,SUP_00007,DC_BCN,2024-01-02,2024-03-02,2024-03-02,800.5,832.52,paid,0
SP-2024-0000161,PO-2024-0000161,SUP_00004,DC_BCN,2024-02-01,2024-03-02,2024-03-02,244.01,295.25,paid,0
SP-2024-0000014,PO-2024-0000014,SUP_00014,DC_BCN,2024-01-03,2024-03-03,2024-03-03,2461.11,2707.22,paid,0
SP-2024-0000015,PO-2024-0000015,SUP_00016,DC_BCN,2024-01-03,2024-03-03,2024-03-03,1644.71,1990.1,paid,0
SP-2024-0000018,PO-2024-0000018,SUP_00007,DC_BCN,2024-01-03,2024-03-03,2024-03-03,488.16,507.69,paid,0
SP-2024-0000171,PO-2024-0000171,SUP_00004,DC_ZGZ,2024-02-02,2024-03-03,2024-03-03,327.25,395.97,paid,0
SP-2024-0000019,PO-2024-0000019,SUP_00007,DC_BCN,2024-01-04,2024-03-04,2024-03-04,110.26,114.67,paid,0
SP-2024-0000020,PO-2024-0000020,SUP_00016,DC_BCN,2024-01-04,2024-03-04,2024-03-04,215.99,237.59,paid,0
SP-2024-0000021,PO-2024-0000021,SUP_00007,DC_SEV,2024-01-04,2024-03-04,2024-03-04,114.61,138.68,paid,0
SP-2024-0000023,PO-2024-0000023,SUP_00007,DC_MAD,2024-01-04,2024-03-04,2024-03-04,1239.89,1289.49,paid,0
SP-2024-0000024,PO-2024-0000024,SUP_00014,DC_BCN,2024-01-05,2024-03-05,2024-03-05,811.09,892.2,paid,0
SP-2024-0000025,PO-2024-0000025,SUP_00007,DC_SEV,2024-01-05,2024-03-05,2024-03-05,773.42,804.36,paid,0
SP-2024-0000026,PO-2024-0000026,SUP_00014,DC_SEV,2024-01-05,2024-03-05,2024-03-05,587.12,645.83,paid,0
SP-2024-0000029,PO-2024-0000029,SUP_00007,DC_BCN,2024-01-05,2024-03-05,2024-03-05,457.26,475.55,paid,0
SP-2024-0000030,PO-2024-0000030,SUP_00016,DC_BCN,2024-01-05,2024-03-05,2024-03-05,182.27,220.55,paid,0
SP-2024-0000031,PO-2024-0000031,SUP_00016,DC_MAD,2024-01-05,2024-03-05,2024-03-05,758.56,862.01,paid,0
SP-2024-0000179,PO-2024-0000179,SUP_00017,DC_MAD,2024-02-05,2024-03-06,2024-03-06,832.17,915.39,paid,0
SP-2024-0000035,PO-2024-0000035,SUP_00007,DC_SEV,2024-01-07,2024-03-07,2024-03-07,590.0,613.6,paid,0
SP-2024-0000037,PO-2024-0000037,SUP_00016,DC_ZGZ,2024-01-07,2024-03-07,2024-03-07,633.41,766.43,paid,0
SP-2024-0000183,PO-2024-0000183,SUP_00017,DC_VLC,2024-02-06,2024-03-07,2024-03-07,293.33,322.66,paid,0
SP-2024-0000039,PO-2024-0000039,SUP_00016,DC_MAD,2024-01-08,2024-03-08,2024-03-08,861.24,947.36,paid,0
SP-2024-0000043,PO-2024-0000043,SUP_00007,DC_VLC,2024-01-08,2024-03-08,2024-03-08,112.65,136.31,paid,0
SP-2024-0000185,PO-2024-0000185,SUP_00017,DC_ZGZ,2024-02-07,2024-03-08,2024-03-08,172.52,189.77,paid,0
SP-2024-0000046,PO-2024-0000046,SUP_00014,DC_BCN,2024-01-09,2024-03-09,2024-03-09,792.11,871.32,paid,0
SP-2024-0000048,PO-2024-0000048,SUP_00016,DC_VLC,2024-01-09,2024-03-09,2024-03-09,644.27,779.57,paid,0
SP-2024-0000192,PO-2024-0000192,SUP_00004,DC_SEV,2024-02-08,2024-03-09,2024-03-09,773.09,935.44,paid,0
SP-2024-0000049,PO-2024-0000049,SUP_00007,DC_ZGZ,2024-01-10,2024-03-10,2024-03-10,588.64,612.19,paid,0
SP-2024-0000050,PO-2024-0000050,SUP_00016,DC_ZGZ,2024-01-10,2024-03-10,2024-03-10,317.75,384.48,paid,0
SP-2024-0000052,PO-2024-0000052,SUP_00016,DC_BCN,2024-01-10,2024-03-10,2024-03-10,685.92,829.96,paid,0
SP-2024-0000054,PO-2024-0000054,SUP_00007,DC_BCN,2024-01-10,2024-03-10,2024-03-10,906.53,1096.9,paid,0
SP-2024-0000203,PO-2024-0000203,SUP_00004,DC_ZGZ,2024-02-09,2024-03-10,2024-03-10,4767.29,5768.42,paid,0
SP-2024-0000206,PO-2024-0000206,SUP_00004,DC_BCN,2024-02-09,2024-03-10,2024-03-10,253.99,307.33,paid,0
SP-2024-0000055,PO-2024-0000055,SUP_00007,DC_VLC,2024-01-11,2024-03-11,2024-03-11,361.68,376.15,paid,0
SP-2024-0000208,PO-2024-0000208,SUP_00004,DC_MAD,2024-02-10,2024-03-11,2024-03-11,754.8,913.31,paid,0
SP-2024-0000209,PO-2024-0000209,SUP_00017,DC_BCN,2024-02-10,2024-03-11,2024-03-11,249.87,274.86,paid,0
SP-2024-0000210,PO-2024-0000210,SUP_00004,DC_BCN,2024-02-10,2024-03-11,2024-03-11,478.01,578.39,paid,0
SP-2024-0000057,PO-2024-0000057,SUP_00007,DC_ZGZ,2024-01-12,2024-03-12,2024-03-12,516.74,537.41,paid,0
SP-2024-0000058,PO-2024-0000058,SUP_00014,DC_ZGZ,2024-01-12,2024-03-12,2024-03-12,405.02,445.52,paid,0
SP-2024-0000061,PO-2024-0000061,SUP_00007,DC_SEV,2024-01-12,2024-03-12,2024-03-12,380.64,395.87,paid,0
SP-2024-0000063,PO-2024-0000063,SUP_00016,DC_SEV,2024-01-13,2024-03-13,2024-03-13,1228.95,1351.85,paid,0
SP-2024-0000065,PO-2024-0000065,SUP_00014,DC_MAD,2024-01-13,2024-03-13,2024-03-13,2098.95,2308.84,paid,0
SP-2024-0000066,PO-2024-0000066,SUP_00016,DC_BCN,2024-01-13,2024-03-13,2024-03-16,265.15,291.67,paid,3
SP-2024-0000067,PO-2024-0000067,SUP_00007,DC_BCN,2024-01-13,2024-03-13,2024-03-13,1039.29,1080.86,paid,0
SP-2024-0000221,PO-2024-0000221,SUP_00017,DC_BCN,2024-02-12,2024-03-13,2024-03-13,118.98,130.88,paid,0
SP-2024-0000068,PO-2024-0000068,SUP_00016,DC_ZGZ,2024-01-14,2024-03-14,2024-03-14,514.11,622.07,paid,0
SP-2024-0000070,PO-2024-0000070,SUP_00014,DC_MAD,2024-01-14,2024-03-14,2024-03-14,2355.44,2590.98,paid,0
SP-2024-0000223,PO-2024-0000223,SUP_00017,DC_SEV,2024-02-13,2024-03-14,2024-03-26,1773.27,1950.6,paid,12
SP-2024-0000225,PO-2024-0000225,SUP_00017,DC_BCN,2024-02-13,2024-03-14,2024-03-14,1181.84,1300.02,paid,0
SP-2024-0000227,PO-2024-0000227,SUP_00004,DC_BCN,2024-02-13,2024-03-14,2024-03-14,553.76,670.05,paid,0
SP-2024-0000074,PO-2024-0000074,SUP_00016,DC_VLC,2024-01-15,2024-03-15,2024-03-15,567.81,687.05,paid,0
SP-2024-0000075,PO-2024-0000075,SUP_00014,DC_VLC,2024-01-15,2024-03-15,2024-03-15,956.57,1052.23,paid,0
SP-2024-0000232,PO-2024-0000232,SUP_00005,DC_SEV,2024-02-14,2024-03-15,2024-03-15,680.55,748.6,paid,0
SP-2024-0000234,PO-2024-0000234,SUP_00017,DC_MAD,2024-02-14,2024-03-15,2024-03-15,396.19,435.81,paid,0
SP-2024-0000235,PO-2024-0000235,SUP_00017,DC_ZGZ,2024-02-14,2024-03-15,2024-03-15,305.89,336.48,paid,0
SP-2024-0000076,PO-2024-0000076,SUP_00016,DC_ZGZ,2024-01-16,2024-03-16,2024-03-28,605.4,732.53,paid,12
SP-2024-0000239,PO-2024-0000239,SUP_00004,DC_ZGZ,2024-02-15,2024-03-16,2024-03-16,238.65,288.77,paid,0
SP-2024-0000079,PO-2024-0000079,SUP_00007,DC_BCN,2024-01-17,2024-03-17,2024-03-17,449.96,467.96,paid,0
SP-2024-0000081,PO-2024-0000081,SUP_00014,DC_BCN,2024-01-17,2024-03-17,2024-03-17,1893.13,2082.44,paid,0
SP-2024-0000084,PO-2024-0000084,SUP_00016,DC_MAD,2024-01-17,2024-03-17,2024-03-17,680.58,823.5,paid,0
SP-2024-0000087,PO-2024-0000087,SUP_00007,DC_VLC,2024-01-17,2024-03-17,2024-03-17,149.17,180.5,paid,0
SP-2024-0000248,PO-2024-0000248,SUP_00004,DC_ZGZ,2024-02-16,2024-03-17,2024-03-19,338.7,409.83,paid,2
SP-2024-0000249,PO-2024-0000249,SUP_00017,DC_ZGZ,2024-02-16,2024-03-17,2024-03-17,159.49,175.44,paid,0
SP-2024-0000250,PO-2024-0000250,SUP_00017,DC_MAD,2024-02-17,2024-03-18,2024-03-29,1455.43,1600.97,paid,11
SP-2024-0000251,PO-2024-0000251,SUP_00004,DC_MAD,2024-02-17,2024-03-18,2024-03-18,544.18,658.46,paid,0
SP-2024-0000254,PO-2024-0000254,SUP_00004,DC_ZGZ,2024-02-17,2024-03-18,2024-03-18,357.06,432.04,paid,0
SP-2024-0000256,PO-2024-0000256,SUP_00004,DC_SEV,2024-02-17,2024-03-18,2024-03-31,835.44,1010.88,paid,13
SP-2024-0000261,PO-2024-0000261,SUP_00004,DC_VLC,2024-02-17,2024-03-18,2024-03-18,101.43,122.73,paid,0
SP-2024-0000088,PO-2024-0000088,SUP_00014,DC_BCN,2024-01-19,2024-03-19,2024-03-19,420.46,462.51,paid,0
SP-2024-0000262,PO-2024-0000262,SUP_00004,DC_ZGZ,2024-02-18,2024-03-19,2024-03-19,202.59,245.13,paid,0
SP-2024-0000263,PO-2024-0000263,SUP_00017,DC_ZGZ,2024-02-18,2024-03-19,2024-03-19,539.55,593.5,paid,0
SP-2024-0000090,PO-2024-0000090,SUP_00016,DC_BCN,2024-01-20,2024-03-20,2024-03-20,661.43,778.12,paid,0
SP-2024-0000091,PO-2024-0000091,SUP_00007,DC_BCN,2024-01-20,2024-03-20,2024-03-20,1328.81,1398.65,paid,0
SP-2024-0000093,PO-2024-0000093,SUP_00016,DC_VLC,2024-01-20,2024-03-20,2024-03-20,582.13,704.38,paid,0
SP-2024-0000268,PO-2024-0000268,SUP_00017,DC_BCN,2024-02-19,2024-03-20,2024-03-20,186.23,204.85,paid,0
SP-2024-0000273,PO-2024-0000273,SUP_00004,DC_SEV,2024-02-19,2024-03-20,2024-03-20,490.49,593.49,paid,0
SP-2024-0000275,PO-2024-0000275,SUP_00017,DC_SEV,2024-02-19,2024-03-20,2024-03-27,307.16,337.88,paid,7
SP-2024-0000094,PO-2024-0000094,SUP_00016,DC_SEV,2024-01-21,2024-03-21,2024-03-21,651.4,767.77,paid,0
SP-2024-0000279,PO-2024-0000279,SUP_00017,DC_ZGZ,2024-02-21,2024-03-22,2024-04-05,177.87,195.66,paid,14
SP-2024-0000095,PO-2024-0000095,SUP_00007,DC_BCN,2024-01-23,2024-03-23,2024-04-01,365.91,380.55,paid,9
SP-2024-0000097,PO-2024-0000097,SUP_00014,DC_BCN,2024-01-23,2024-03-23,2024-03-23,569.78,626.76,paid,0
SP-2024-0000102,PO-2024-0000102,SUP_00014,DC_ZGZ,2024-01-23,2024-03-23,2024-03-23,529.58,582.54,paid,0
SP-2024-0000103,PO-2024-0000103,SUP_00007,DC_ZGZ,2024-01-23,2024-03-23,2024-03-23,2305.11,2483.27,paid,0
SP-2024-0000281,PO-2024-0000281,SUP_00005,DC_SEV,2024-02-22,2024-03-23,2024-03-23,670.05,737.05,paid,0
SP-2024-0000284,PO-2024-0000284,SUP_00004,DC_BCN,2024-02-23,2024-03-24,2024-03-24,153.02,185.15,paid,0
SP-2024-0000104,PO-2024-0000104,SUP_00014,DC_SEV,2024-01-25,2024-03-25,2024-03-25,2571.23,2828.35,paid,0
SP-2024-0000106,PO-2024-0000106,SUP_00007,DC_SEV,2024-01-25,2024-03-25,2024-03-25,139.17,168.4,paid,0
SP-2024-0000109,PO-2024-0000109,SUP_00007,DC_BCN,2024-01-25,2024-03-25,2024-03-25,648.7,674.65,paid,0
SP-2024-0000114,PO-2024-0000114,SUP_00014,DC_VLC,2024-01-26,2024-03-26,2024-03-26,1901.76,2091.94,paid,0
SP-2024-0000115,PO-2024-0000115,SUP_00016,DC_VLC,2024-01-26,2024-03-26,2024-03-26,798.86,966.62,paid,0
SP-2024-0000290,PO-2024-0000290,SUP_00004,DC_BCN,2024-02-25,2024-03-26,2024-03-26,212.97,257.69,paid,0
SP-2024-0000291,PO-2024-0000291,SUP_00017,DC_BCN,2024-02-25,2024-03-26,2024-04-07,530.76,583.84,paid,12
SP-2024-0000117,PO-2024-0000117,SUP_00014,DC_BCN,2024-01-27,2024-03-27,2024-03-27,1062.35,1168.58,paid,0
SP-2024-0000118,PO-2024-0000118,SUP_00016,DC_BCN,2024-01-27,2024-03-27,2024-03-27,1053.64,1274.9,paid,0
SP-2024-0000120,PO-2024-0000120,SUP_00007,DC_BCN,2024-01-27,2024-03-27,2024-03-27,124.48,150.62,paid,0
SP-2024-0000124,PO-2024-0000124,SUP_00016,DC_ZGZ,2024-01-27,2024-03-27,2024-04-04,190.66,230.7,paid,8
SP-2024-0000127,PO-2024-0000127,SUP_00016,DC_SEV,2024-01-27,2024-03-27,2024-03-27,902.86,1092.46,paid,0
SP-2024-0000294,PO-2024-0000294,SUP_00017,DC_SEV,2024-02-26,2024-03-27,2024-03-27,2424.6,2667.06,paid,0
SP-2024-0000130,PO-2024-0000130,SUP_00007,DC_BCN,2024-01-28,2024-03-28,2024-03-28,2257.29,2347.58,paid,0
SP-2024-0000131,PO-2024-0000131,SUP_00007,DC_SEV,2024-01-28,2024-03-28,2024-03-28,457.15,475.44,paid,0
SP-2024-0000140,PO-2024-0000140,SUP_00014,DC_ZGZ,2024-01-29,2024-03-29,2024-03-29,564.74,621.21,paid,0
SP-2024-0000142,PO-2024-0000142,SUP_00016,DC_VLC,2024-01-29,2024-03-29,2024-03-29,257.32,283.05,paid,0
SP-2024-0000304,PO-2024-0000304,SUP_00017,DC_BCN,2024-02-28,2024-03-29,2024-03-29,660.75,726.83,paid,0
SP-2024-0000143,PO-2024-0000143,SUP_00016,DC_MAD,2024-01-30,2024-03-30,2024-03-30,1298.88,1571.64,paid,0
SP-2024-0000145,PO-2024-0000145,SUP_00014,DC_MAD,2024-01-30,2024-03-30,2024-04-04,1285.2,1413.72,paid,5
SP-2024-0000146,PO-2024-0000146,SUP_00007,DC_MAD,2024-01-30,2024-03-30,2024-03-30,791.72,823.39,paid,0
SP-2024-0000147,PO-2024-0000147,SUP_00007,DC_BCN,2024-01-30,2024-03-30,2024-03-30,261.5,271.96,paid,0
SP-2024-0000148,PO-2024-0000148,SUP_00016,DC_BCN,2024-01-30,2024-03-30,2024-03-30,59.9,72.48,paid,0
SP-2024-0000002,PO-2024-0000002,SUP_00015,DC_BCN,2024-01-01,2024-03-31,2024-03-31,351.82,365.89,paid,0
SP-2024-0000006,PO-2024-0000006,SUP_00015,DC_MAD,2024-01-01,2024-03-31,2024-03-31,605.56,629.78,paid,0
SP-2024-0000007,PO-2024-0000007,SUP_00019,DC_MAD,2024-01-01,2024-03-31,2024-03-31,1079.97,1187.97,paid,0
SP-2024-0000009,PO-2024-0000009,SUP_00015,DC_ZGZ,2024-01-01,2024-03-31,2024-03-31,230.09,239.29,paid,0
SP-2024-0000151,PO-2024-0000151,SUP_00007,DC_BCN,2024-01-31,2024-03-31,2024-03-31,1676.38,1836.22,paid,0
SP-2024-0000152,PO-2024-0000152,SUP_00014,DC_BCN,2024-01-31,2024-03-31,2024-03-31,1909.72,2100.69,paid,0
SP-2024-0000156,PO-2024-0000156,SUP_00016,DC_BCN,2024-01-31,2024-03-31,2024-04-04,236.89,286.64,paid,4
SP-2024-0000158,PO-2024-0000158,SUP_00007,DC_ZGZ,2024-01-31,2024-03-31,2024-03-31,880.03,915.23,paid,0
SP-2024-0000159,PO-2024-0000159,SUP_00014,DC_BCN,2024-02-01,2024-04-01,2024-04-01,201.67,221.84,paid,0
SP-2024-0000160,PO-2024-0000160,SUP_00007,DC_BCN,2024-02-01,2024-04-01,2024-04-01,282.27,293.56,paid,0
SP-2024-0000162,PO-2024-0000162,SUP_00014,DC_SEV,2024-02-01,2024-04-01,2024-04-01,155.98,171.58,paid,0
SP-2024-0000164,PO-2024-0000164,SUP_00007,DC_SEV,2024-02-01,2024-04-01,2024-04-01,941.11,1138.74,paid,0
SP-2024-0000165,PO-2024-0000165,SUP_00016,DC_SEV,2024-02-01,2024-04-01,2024-04-01,288.3,317.13,paid,0
SP-2024-0000315,PO-2024-0000315,SUP_00004,DC_VLC,2024-03-02,2024-04-01,2024-04-01,515.21,623.4,paid,0
SP-2024-0000016,PO-2024-0000016,SUP_00015,DC_BCN,2024-01-03,2024-04-02,2024-04-02,952.92,991.04,paid,0
SP-2024-0000167,PO-2024-0000167,SUP_00016,DC_ZGZ,2024-02-02,2024-04-02,2024-04-02,1661.38,1980.7,paid,0
SP-2024-0000168,PO-2024-0000168,SUP_00007,DC_SEV,2024-02-02,2024-04-02,2024-04-02,1101.26,1254.72,paid,0
SP-2024-0000169,PO-2024-0000169,SUP_00014,DC_ZGZ,2024-02-02,2024-04-02,2024-04-02,3088.24,3397.06,paid,0
SP-2024-0000170,PO-2024-0000170,SUP_00007,DC_ZGZ,2024-02-02,2024-04-02,2024-04-02,279.92,291.12,paid,0
SP-2024-0000174,PO-2024-0000174,SUP_00014,DC_SEV,2024-02-02,2024-04-02,2024-04-02,425.87,468.46,paid,0
SP-2024-0000175,PO-2024-0000175,SUP_00007,DC_VLC,2024-02-02,2024-04-02,2024-04-02,211.87,256.36,paid,0
SP-2024-0000022,PO-2024-0000022,SUP_00015,DC_ZGZ,2024-01-04,2024-04-03,2024-04-03,416.13,432.78,paid,0
SP-2024-0000176,PO-2024-0000176,SUP_00016,DC_SEV,2024-02-03,2024-04-03,2024-04-03,633.27,696.6,paid,0
SP-2024-0000027,PO-2024-0000027,SUP_00015,DC_BCN,2024-01-05,2024-04-04,2024-04-04,261.2,271.65,paid,0
SP-2024-0000032,PO-2024-0000032,SUP_00015,DC_MAD,2024-01-05,2024-04-04,2024-04-04,259.39,269.77,paid,0
SP-2024-0000177,PO-2024-0000177,SUP_00014,DC_ZGZ,2024-02-04,2024-04-04,2024-04-04,362.35,398.59,paid,0
SP-2024-0000325,PO-2024-0000325,SUP_00017,DC_BCN,2024-03-05,2024-04-04,2024-04-17,338.3,372.13,paid,13
SP-2024-0000327,PO-2024-0000327,SUP_00004,DC_SEV,2024-03-05,2024-04-04,2024-04-04,751.33,909.11,paid,0
SP-2024-0000178,PO-2024-0000178,SUP_00014,DC_MAD,2024-02-05,2024-04-05,2024-04-05,3779.08,4156.99,paid,0
SP-2024-0000334,PO-2024-0000334,SUP_00017,DC_MAD,2024-03-06,2024-04-05,2024-04-12,375.68,413.25,paid,7
SP-2024-0000038,PO-2024-0000038,SUP_00019,DC_ZGZ,2024-01-07,2024-04-06,2024-04-06,424.24,466.66,paid,0
SP-2024-0000181,PO-2024-0000181,SUP_00007,DC_VLC,2024-02-06,2024-04-06,2024-04-06,507.39,527.69,paid,0
SP-2024-0000182,PO-2024-0000182,SUP_00014,DC_VLC,2024-02-06,2024-04-06,2024-04-06,2125.27,2337.8,paid,0
SP-2024-0000184,PO-2024-0000184,SUP_00016,DC_BCN,2024-02-06,2024-04-06,2024-04-06,281.02,340.03,paid,0
SP-2024-0000341,PO-2024-0000341,SUP_00017,DC_BCN,2024-03-07,2024-04-06,2024-04-06,211.78,232.96,paid,0
SP-2024-0000342,PO-2024-0000342,SUP_00004,DC_BCN,2024-03-07,2024-04-06,2024-04-06,637.71,771.63,paid,0
SP-2024-0000040,PO-2024-0000040,SUP_00019,DC_MAD,2024-01-08,2024-04-07,2024-04-07,2731.35,3004.48,paid,0
SP-2024-0000041,PO-2024-0000041,SUP_00019,DC_SEV,2024-01-08,2024-04-07,2024-04-07,1024.64,1127.1,paid,0
SP-2024-0000044,PO-2024-0000044,SUP_00019,DC_BCN,2024-01-08,2024-04-07,2024-04-07,440.31,484.34,paid,0
SP-2024-0000186,PO-2024-0000186,SUP_00007,DC_MAD,2024-02-07,2024-04-07,2024-04-07,1929.84,2007.03,paid,0
SP-2024-0000187,PO-2024-0000187,SUP_00016,DC_BCN,2024-02-07,2024-04-07,2024-04-07,588.65,676.11,paid,0
SP-2024-0000188,PO-2024-0000188,SUP_00014,DC_MAD,2024-02-07,2024-04-07,2024-04-22,1102.66,1212.93,paid,15
SP-2024-0000190,PO-2024-0000190,SUP_00007,DC_BCN,2024-02-07,2024-04-07,2024-04-07,270.5,281.32,paid,0
SP-2024-0000193,PO-2024-0000193,SUP_00007,DC_BCN,2024-02-08,2024-04-08,2024-04-08,845.32,879.13,paid,0
SP-2024-0000194,PO-2024-0000194,SUP_00016,DC_ZGZ,2024-02-08,2024-04-08,2024-04-08,113.6,137.46,paid,0
