movement_id,date,product_id,location_type,location_id,movement_type,reason,reference_id,quantity_delta,quantity_after
MOV_000000029,2025-12-23,PROD_001308,DC,DC_BCN,OUT,sale,ORD_00000003,-3,186
MOV_000000030,2025-12-23,PROD_003616,DC,DC_BCN,OUT,sale,ORD_00000003,-1,245
MOV_000000031,2025-12-23,PROD_002419,DC,DC_BCN,OUT,sale,ORD_00000003,-2,84
MOV_000000032,2025-12-23,PROD_003176,DC,DC_BCN,OUT,sale,ORD_00000003,-1,102
MOV_000000033,2025-12-23,PROD_003290,DC,DC_BCN,OUT,sale,ORD_00000003,-1,223
MOV_000000034,2025-12-23,PROD_000241,DC,DC_BCN,OUT,sale,ORD_00000003,-1,97
MOV_000000035,2025-12-23,PROD_001916,DC,DC_BCN,OUT,sale,ORD_00000003,-1,163
MOV_000000036,2025-12-23,PROD_002978,DC,DC_BCN,OUT,sale,ORD_00000003,-1,138
MOV_000000037,2025-12-23,PROD_002375,DC,DC_BCN,OUT,sale,ORD_00000003,-3,131
MOV_000000038,2025-12-23,PROD_003522,DC,DC_BCN,OUT,sale,ORD_00000003,-1,131
MOV_000000039,2025-12-23,PROD_000081,DC,DC_BCN,OUT,sale,ORD_00000003,-4,257
MOV_000000040,2025-12-23,PROD_003406,DC,DC_BCN,OUT,sale,ORD_00000003,-3,237
MOV_000000041,2025-12-23,PROD_001475,DC,DC_BCN,OUT,sale,ORD_00000003,-1,124
MOV_000000042,2025-12-23,PROD_003381,DC,DC_BCN,OUT,sale,ORD_00000003,-2,190
MOV_000000043,2025-12-23,PROD_001194,DC,DC_BCN,OUT,sale,ORD_00000003,-6,282
MOV_000000044,2025-12-23,PROD_001835,DC,DC_BCN,OUT,sale,ORD_00000003,-1,247
MOV_000000045,2025-12-23,PROD_003500,DC,DC_BCN,OUT,sale,ORD_00000003,-2,230
MOV_000000046,2025-12-23,PROD_000637,DC,DC_BCN,OUT,sale,ORD_00000003,-1,212
MOV_000000047,2025-12-23,PROD_002429,DC,DC_BCN,OUT,sale,ORD_00000003,-3,264
MOV_000000048,2025-12-23,PROD_001405,DC,DC_BCN,OUT,sale,ORD_00000003,-1,158
MOV_000000049,2025-12-23,PROD_001535,DC,DC_BCN,OUT,sale,ORD_00000003,-1,252
MOV_000000050,2025-12-23,PROD_000341,DC,DC_BCN,OUT,sale,ORD_00000003,-3,33
MOV_000000051,2025-12-23,PROD_000634,DC,DC_BCN,OUT,sale,ORD_00000003,-3,265
MOV_000000052,2025-12-23,PROD_002743,DC,DC_BCN,OUT,sale,ORD_00000003,-1,145
MOV_000000053,2025-12-23,PROD_002373,DC,DC_BCN,OUT,sale,ORD_00000003,-2,163
MOV_000000054,2025-12-23,PROD_000758,DC,DC_BCN,OUT,sale,ORD_00000003,-2,43
MOV_000000055,2025-12-23,PROD_002532,STORE,ST_00952,OUT,sale,ORD_00000004,-1,0
MOV_000000056,2025-12-23,PROD_001037,STORE,ST_00952,OUT,sale,ORD_00000004,-3,4
MOV_000000057,2025-12-23,PROD_000889,STORE,ST_00952,OUT,sale,ORD_00000004,-2,3
MOV_000000058,2025-12-23,PROD_001917,STORE,ST_00952,OUT,sale,ORD_00000004,-3,1
MOV_000000059,2025-12-23,PROD_003054,STORE,ST_00952,OUT,sale,ORD_00000004,-2,5
MOV_000000060,2025-12-23,PROD_001341,STORE,ST_00952,OUT,sale,ORD_00000004,-2,2
MOV_000000061,2025-12-23,PROD_000182,STORE,ST_00952,OUT,sale,ORD_00000004,-1,7
MOV_000000062,2025-12-23,PROD_001719,STORE,ST_00952,OUT,sale,ORD_00000004,-1,7
MOV_000000063,2025-12-23,PROD_001166,STORE,ST_00952,OUT,sale,ORD_00000004,-2,1
MOV_000000064,2025-12-23,PROD_002432,STORE,ST_00952,OUT,sale,ORD_00000004,-2,2
MOV_000000065,2025-12-23,PROD_003494,DC,DC_SEV,OUT,sale,ORD_00000005,-4,317
MOV_000000066,2025-12-23,PROD_003055,DC,DC_SEV,OUT,sale,ORD_00000005,-1,156
MOV_000000067,2025-12-23,PROD_000655,DC,DC_SEV,OUT,sale,ORD_00000005,-1,521
MOV_000000068,2025-12-23,PROD_000984,DC,DC_SEV,OUT,sale,ORD_00000005,-4,143
MOV_000000069,2025-12-23,PROD_001852,DC,DC_SEV,OUT,sale,ORD_00000005,-1,311
MOV_000000070,2025-12-23,PROD_000329,DC,DC_SEV,OUT,sale,ORD_00000005,-1,326
MOV_000000071,2025-12-23,PROD_001061,DC,DC_SEV,OUT,sale,ORD_00000005,-1,159
MOV_000000072,2025-12-23,PROD_002094,DC,DC_SEV,OUT,sale,ORD_00000005,-2,340
MOV_000000073,2025-12-23,PROD_000798,DC,DC_SEV,OUT,sale,ORD_00000005,-2,291
MOV_000000074,2025-12-23,PROD_000995,DC,DC_SEV,OUT,sale,ORD_00000005,-3,152
MOV_000000075,2025-12-23,PROD_002360,DC,DC_SEV,OUT,sale,ORD_00000005,-5,110
MOV_000000076,2025-12-23,PROD_002217,DC,DC_SEV,OUT,sale,ORD_00000005,-1,186
MOV_000000077,2025-12-23,PROD_002639,DC,DC_SEV,OUT,sale,ORD_00000005,-1,60
MOV_000000078,2025-12-23,PROD_000857,DC,DC_SEV,OUT,sale,ORD_00000005,-1,333
MOV_000000079,2025-12-23,PROD_002369,DC,DC_SEV,OUT,sale,ORD_00000005,-1,418
MOV_000000080,2025-12-23,PROD_001949,DC,DC_SEV,OUT,sale,ORD_00000005,-1,178
MOV_000000081,2025-12-23,PROD_000513,DC,DC_SEV,OUT,sale,ORD_00000005,-4,198
MOV_000000082,2025-12-23,PROD_001569,DC,DC_SEV,OUT,sale,ORD_00000006,-4,113
MOV_000000083,2025-12-23,PROD_002364,DC,DC_SEV,OUT,sale,ORD_00000006,-2,182
MOV_000000084,2025-12-23,PROD_001204,DC,DC_SEV,OUT,sale,ORD_00000006,-1,270
MOV_000000085,2025-12-23,PROD_002419,DC,DC_SEV,OUT,sale,ORD_00000006,-1,257
MOV_000000086,2025-12-23,PROD_003195,DC,DC_SEV,OUT,sale,ORD_00000006,-3,308
MOV_000000087,2025-12-23,PROD_001586,DC,DC_SEV,OUT,sale,ORD_00000006,-1,328
MOV_000000088,2025-12-23,PROD_002179,DC,DC_SEV,OUT,sale,ORD_00000006,-1,354
MOV_000000089,2025-12-23,PROD_003454,DC,DC_SEV,OUT,sale,ORD_00000006,-4,241
MOV_000000090,2025-12-23,PROD_003394,DC,DC_SEV,OUT,sale,ORD_00000006,-1,155
MOV_000000091,2025-12-23,PROD_000624,DC,DC_SEV,OUT,sale,ORD_00000006,-1,388
MOV_000000092,2025-12-23,PROD_001354,DC,DC_SEV,OUT,sale,ORD_00000006,-3,176
MOV_000000093,2025-12-23,PROD_002322,DC,DC_SEV,OUT,sale,ORD_00000006,-1,151
MOV_000000094,2025-12-23,PROD_001505,DC,DC_SEV,OUT,sale,ORD_00000006,-2,247
MOV_000000095,2025-12-23,PROD_003423,DC,DC_SEV,OUT,sale,ORD_00000006,-2,409
MOV_000000096,2025-12-23,PROD_002824,DC,DC_SEV,OUT,sale,ORD_00000006,-1,270
MOV_000000097,2025-12-23,PROD_001053,DC,DC_SEV,OUT,sale,ORD_00000006,-1,98
MOV_000000098,2025-12-23,PROD_002743,DC,DC_SEV,OUT,sale,ORD_00000006,-2,153
MOV_000000099,2025-12-23,PROD_000183,DC,DC_SEV,OUT,sale,ORD_00000006,-2,248
MOV_000000100,2025-12-23,PROD_000447,DC,DC_SEV,OUT,sale,ORD_00000006,-1,147
MOV_000000101,2025-12-23,PROD_003115,DC,DC_SEV,OUT,sale,ORD_00000006,-4,141
MOV_000000102,2025-12-23,PROD_002283,DC,DC_SEV,OUT,sale,ORD_00000006,-3,118
MOV_000000103,2025-12-23,PROD_000523,DC,DC_SEV,OUT,sale,ORD_00000006,-4,202
MOV_000000104,2025-12-23,PROD_000776,DC,DC_SEV,OUT,sale,ORD_00000006,-3,325
MOV_000000105,2025-12-23,PROD_002539,DC,DC_SEV,OUT,sale,ORD_00000006,-1,8
MOV_000000106,2025-12-23,PROD_001682,DC,DC_SEV,OUT,sale,ORD_00000006,-3,265
MOV_000000107,2025-12-23,PROD_001031,DC,DC_SEV,OUT,sale,ORD_00000006,-4,76
MOV_000000108,2025-12-23,PROD_001308,DC,DC_SEV,OUT,sale,ORD_00000006,-1,243
MOV_000000109,2025-12-23,PROD_001845,DC,DC_SEV,OUT,sale,ORD_00000006,-2,283
MOV_000000110,2025-12-23,PROD_001925,DC,DC_SEV,OUT,sale,ORD_00000006,-1,128
MOV_000000111,2025-12-23,PROD_002516,DC,DC_SEV,OUT,sale,ORD_00000006,-1,224
MOV_000000112,2025-12-23,PROD_003587,DC,DC_SEV,OUT,sale,ORD_00000006,-1,40
MOV_000000113,2025-12-23,PROD_000831,DC,DC_ZGZ,OUT,sale,ORD_00000007,-2,152
MOV_000000114,2025-12-23,PROD_002090,DC,DC_ZGZ,OUT,sale,ORD_00000007,-2,180
MOV_000000115,2025-12-23,PROD_000799,DC,DC_ZGZ,OUT,sale,ORD_00000007,-3,293
MOV_000000116,2025-12-23,PROD_002493,DC,DC_ZGZ,OUT,sale,ORD_00000007,-1,236
MOV_000000117,2025-12-23,PROD_002750,DC,DC_ZGZ,OUT,sale,ORD_00000007,-1,128
MOV_000000118,2025-12-23,PROD_000834,DC,DC_ZGZ,OUT,sale,ORD_00000007,-1,91
MOV_000000119,2025-12-23,PROD_002066,DC,DC_ZGZ,OUT,sale,ORD_00000007,-2,101
MOV_000000120,2025-12-23,PROD_002275,DC,DC_ZGZ,OUT,sale,ORD_00000007,-2,133
MOV_000000121,2025-12-24,PROD_000489,DC,DC_BCN,OUT,sale,ORD_00000008,-4,173
MOV_000000122,2025-12-24,PROD_002291,DC,DC_BCN,OUT,sale,ORD_00000008,-1,152
MOV_000000123,2025-12-24,PROD_003490,DC,DC_BCN,OUT,sale,ORD_00000008,-3,148
MOV_000000124,2025-12-24,PROD_002093,DC,DC_BCN,OUT,sale,ORD_00000008,-2,131
MOV_000000125,2025-12-24,PROD_002008,DC,DC_BCN,OUT,sale,ORD_00000008,-5,119
MOV_000000126,2025-12-24,PROD_002459,STORE,ST_01425,OUT,sale,ORD_00000009,-3,0
MOV_000000127,2025-12-24,PROD_002748,STORE,ST_01425,OUT,sale,ORD_00000009,-2,0
MOV_000000128,2025-12-24,PROD_002628,STORE,ST_01425,OUT,sale,ORD_00000009,-2,0
MOV_000000129,2025-12-24,PROD_000153,STORE,ST_01425,OUT,sale,ORD_00000009,-1,1
MOV_000000130,2025-12-24,PROD_001726,STORE,ST_01425,OUT,sale,ORD_00000009,-1,4
MOV_000000131,2025-12-24,PROD_002514,STORE,ST_01425,OUT,sale,ORD_00000009,-2,1
MOV_000000132,2025-12-24,PROD_000330,STORE,ST_01425,OUT,sale,ORD_00000009,-1,0
MOV_000000133,2025-12-24,PROD_002977,STORE,ST_01425,OUT,sale,ORD_00000009,-1,2
MOV_000000134,2025-12-24,PROD_002347,STORE,ST_01425,OUT,sale,ORD_00000009,-1,1
MOV_000000135,2025-12-24,PROD_002914,STORE,ST_01425,OUT,sale,ORD_00000009,-1,1
MOV_000000136,2025-12-24,PROD_000361,STORE,ST_01425,OUT,sale,ORD_00000009,-2,0
MOV_000000137,2025-12-24,PROD_002124,STORE,ST_01425,OUT,sale,ORD_00000009,-3,0
MOV_000000138,2025-12-24,PROD_002572,STORE,ST_01425,OUT,sale,ORD_00000009,-1,1
MOV_000000139,2025-12-24,PROD_001848,STORE,ST_01425,OUT,sale,ORD_00000009,-3,0
MOV_000000140,2025-12-24,PROD_001049,STORE,ST_00952,OUT,sale,ORD_00000010,-1,5
MOV_000000141,2025-12-24,PROD_000669,STORE,ST_00952,OUT,sale,ORD_00000010,-1,0
MOV_000000142,2025-12-24,PROD_001851,STORE,ST_00952,OUT,sale,ORD_00000010,-4,0
MOV_000000143,2025-12-24,PROD_000988,STORE,ST_00952,OUT,sale,ORD_00000010,-1,4
MOV_000000144,2025-12-24,PROD_001214,STORE,ST_00952,OUT,sale,ORD_00000010,-1,7
MOV_000000145,2025-12-24,PROD_002889,STORE,ST_00952,OUT,sale,ORD_00000010,-1,3
MOV_000000146,2025-12-24,PROD_003689,STORE,ST_00952,OUT,sale,ORD_00000010,-2,5
MOV_000000147,2025-12-24,PROD_000869,STORE,ST_00952,OUT,sale,ORD_00000010,-1,4
MOV_000000148,2025-12-24,PROD_003586,STORE,ST_00952,OUT,sale,ORD_00000010,-1,4
MOV_000000149,2025-12-24,PROD_003510,STORE,ST_00952,OUT,sale,ORD_00000010,-3,0
MOV_000000150,2025-12-24,PROD_000811,STORE,ST_00952,OUT,sale,ORD_00000010,-1,0
MOV_000000151,2025-12-24,PROD_002268,STORE,ST_00952,OUT,sale,ORD_00000010,-3,4
MOV_000000152,2025-12-24,PROD_002884,STORE,ST_01294,OUT,sale,ORD_00000011,-1,3
MOV_000000153,2025-12-24,PROD_001364,STORE,ST_01294,OUT,sale,ORD_00000011,-1,4
MOV_000000154,2025-12-24,PROD_003336,STORE,ST_01294,OUT,sale,ORD_00000011,-3,0
MOV_000000155,2025-12-24,PROD_000791,STORE,ST_01294,OUT,sale,ORD_00000011,-3,1
MOV_000000156,2025-12-24,PROD_002202,STORE,ST_01294,OUT,sale,ORD_00000011,-2,1
MOV_000000157,2025-12-24,PROD_002112,STORE,ST_01294,OUT,sale,ORD_00000011,-4,0
MOV_000000158,2025-12-24,PROD_003603,STORE,ST_01294,OUT,sale,ORD_00000011,-1,3
MOV_000000159,2025-12-24,PROD_001521,STORE,ST_01294,OUT,sale,ORD_00000011,-2,0
MOV_000000160,2025-12-24,PROD_003406,STORE,ST_01294,OUT,sale,ORD_00000011,-4,0
MOV_000000161,2025-12-24,PROD_001484,STORE,ST_01294,OUT,sale,ORD_00000011,-4,1
MOV_000000162,2025-12-24,PROD_001295,STORE,ST_01294,OUT,sale,ORD_00000011,-1,4
MOV_000000163,2025-12-24,PROD_000088,STORE,ST_01294,OUT,sale,ORD_00000011,-1,0
MOV_000000164,2025-12-24,PROD_000716,STORE,ST_01294,OUT,sale,ORD_00000011,-1,3
MOV_000000165,2025-12-24,PROD_003388,STORE,ST_01294,OUT,sale,ORD_00000011,-4,1
MOV_000000166,2025-12-24,PROD_003290,STORE,ST_01294,OUT,sale,ORD_00000011,-1,4
MOV_000000167,2025-12-24,PROD_001658,STORE,ST_01294,OUT,sale,ORD_00000011,-1,0
MOV_000000168,2025-12-24,PROD_000086,STORE,ST_01294,OUT,sale,ORD_00000011,-2,1
MOV_000000169,2025-12-24,PROD_000335,STORE,ST_01294,OUT,sale,ORD_00000011,-3,0
MOV_000000170,2025-12-24,PROD_001175,STORE,ST_01294,OUT,sale,ORD_00000011,-3,0
MOV_000000171,2025-12-24,PROD_000535,STORE,ST_01294,OUT,sale,ORD_00000011,-1,2
MOV_000000172,2025-12-24,PROD_002756,STORE,ST_01294,OUT,sale,ORD_00000011,-1,6
MOV_000000173,2025-12-24,PROD_002621,STORE,ST_01294,OUT,sale,ORD_00000011,-1,1
MOV_000000174,2025-12-24,PROD_000797,STORE,ST_01294,OUT,sale,ORD_00000011,-1,5
MOV_000000175,2025-12-24,PROD_003457,STORE,ST_01294,OUT,sale,ORD_00000011,-3,2
MOV_000000176,2025-12-24,PROD_002671,STORE,ST_01294,OUT,sale,ORD_00000011,-1,6
MOV_000000177,2025-12-24,PROD_001870,STORE,ST_01294,OUT,sale,ORD_00000011,-1,7
MOV_000000178,2025-12-24,PROD_003358,STORE,ST_01294,OUT,sale,ORD_00000011,-1,0
MOV_000000179,2025-12-24,PROD_002962,STORE,ST_01294,OUT,sale,ORD_00000011,-1,3
MOV_000000180,2025-12-24,PROD_000108,STORE,ST_01294,OUT,sale,ORD_00000011,-3,0
MOV_000000181,2025-12-24,PROD_002975,DC,DC_ZGZ,OUT,sale,ORD_00000012,-2,212
MOV_000000182,2025-12-24,PROD_000673,DC,DC_ZGZ,OUT,sale,ORD_00000012,-1,220
MOV_000000183,2025-12-24,PROD_000285,DC,DC_ZGZ,OUT,sale,ORD_00000012,-1,149
MOV_000000184,2025-12-24,PROD_003113,DC,DC_ZGZ,OUT,sale,ORD_00000012,-2,193
MOV_000000185,2025-12-24,PROD_002600,DC,DC_ZGZ,OUT,sale,ORD_00000012,-1,258
MOV_000000186,2025-12-24,PROD_000282,DC,DC_ZGZ,OUT,sale,ORD_00000012,-4,283
MOV_000000187,2025-12-24,PROD_000488,DC,DC_ZGZ,OUT,sale,ORD_00000012,-1,347
MOV_000000188,2025-12-24,PROD_003342,DC,DC_ZGZ,OUT,sale,ORD_00000012,-5,97
MOV_000000189,2025-12-24,PROD_000315,DC,DC_ZGZ,OUT,sale,ORD_00000012,-1,227
MOV_000000190,2025-12-24,PROD_000600,DC,DC_ZGZ,OUT,sale,ORD_00000012,-3,245
MOV_000000191,2025-12-24,PROD_002101,DC,DC_ZGZ,OUT,sale,ORD_00000012,-4,181
MOV_000000192,2025-12-24,PROD_000493,DC,DC_SEV,OUT,sale,ORD_00000013,-1,549
MOV_000000193,2025-12-24,PROD_002008,DC,DC_SEV,OUT,sale,ORD_00000013,-5,236
MOV_000000194,2025-12-24,PROD_003135,DC,DC_SEV,OUT,sale,ORD_00000013,-2,292
MOV_000000195,2025-12-24,PROD_000686,DC,DC_SEV,OUT,sale,ORD_00000013,-1,465
MOV_000000196,2025-12-24,PROD_001425,DC,DC_SEV,OUT,sale,ORD_00000013,-3,357
MOV_000000197,2025-12-24,PROD_001690,DC,DC_SEV,OUT,sale,ORD_00000013,-1,181
MOV_000000198,2025-12-24,PROD_001452,DC,DC_SEV,OUT,sale,ORD_00000013,-2,14
MOV_000000199,2025-12-24,PROD_001229,DC,DC_SEV,OUT,sale,ORD_00000013,-1,347
MOV_000000200,2025-12-24,PROD_000131,DC,DC_SEV,OUT,sale,ORD_00000013,-3,170
MOV_000000201,2025-12-24,PROD_000918,DC,DC_SEV,OUT,sale,ORD_00000013,-4,128
MOV_000000202,2025-12-24,PROD_001366,DC,DC_SEV,OUT,sale,ORD_00000013,-2,156
MOV_000000203,2025-12-24,PROD_000975,DC,DC_SEV,OUT,sale,ORD_00000013,-2,191
MOV_000000204,2025-12-24,PROD_002803,DC,DC_SEV,OUT,sale,ORD_00000013,-3,173
MOV_000000205,2025-12-24,PROD_001787,DC,DC_SEV,OUT,sale,ORD_00000013,-1,217
MOV_000000206,2025-12-24,PROD_002403,DC,DC_SEV,OUT,sale,ORD_00000013,-1,205
MOV_000000207,2025-12-24,PROD_001094,DC,DC_SEV,OUT,sale,ORD_00000013,-2,235
MOV_000000208,2025-12-24,PROD_001844,DC,DC_SEV,OUT,sale,ORD_00000013,-1,36
MOV_000000209,2025-12-24,PROD_000175,DC,DC_SEV,OUT,sale,ORD_00000013,-1,210
MOV_000000210,2025-12-24,PROD_001537,DC,DC_SEV,OUT,sale,ORD_00000013,-1,181
MOV_000000211,2025-12-24,PROD_002622,DC,DC_SEV,OUT,sale,ORD_00000013,-1,209
MOV_000000212,2025-12-24,PROD_000488,DC,DC_SEV,OUT,sale,ORD_00000013,-1,237
MOV_000000213,2025-12-24,PROD_002219,DC,DC_SEV,OUT,sale,ORD_00000013,-1,223
MOV_000000214,2025-12-24,PROD_003094,DC,DC_SEV,OUT,sale,ORD_00000013,-1,358
MOV_000000215,2025-12-24,PROD_001386,DC,DC_SEV,OUT,sale,ORD_00000013,-3,305
MOV_000000216,2025-12-24,PROD_001732,DC,DC_SEV,OUT,sale,ORD_00000013,-4,309
MOV_000000217,2025-12-24,PROD_003659,DC,DC_SEV,OUT,sale,ORD_00000013,-3,221
MOV_000000218,2025-12-24,PROD_002551,DC,DC_SEV,OUT,sale,ORD_00000013,-2,270
MOV_000000219,2025-12-24,PROD_000272,DC,DC_SEV,OUT,sale,ORD_00000013,-2,349
MOV_000000220,2025-12-24,PROD_001794,DC,DC_SEV,OUT,sale,ORD_00000013,-2,340
MOV_000000221,2025-12-24,PROD_002591,DC,DC_SEV,OUT,sale,ORD_00000013,-2,325
MOV_000000222,2025-12-24,PROD_000150,DC,DC_SEV,OUT,sale,ORD_00000013,-1,82
MOV_000000223,2025-12-24,PROD_001884,DC,DC_SEV,OUT,sale,ORD_00000014,-1,226
MOV_000000224,2025-12-24,PROD_002656,DC,DC_SEV,OUT,sale,ORD_00000014,-1,306
MOV_000000225,2025-12-24,PROD_002143,DC,DC_SEV,OUT,sale,ORD_00000014,-3,398
MOV_000000226,2025-12-24,PROD_003562,DC,DC_SEV,OUT,sale,ORD_00000014,-3,277
MOV_000000227,2025-12-24,PROD_001067,DC,DC_SEV,OUT,sale,ORD_00000014,-1,120
MOV_000000228,2025-12-24,PROD_000995,DC,DC_SEV,OUT,sale,ORD_00000014,-2,150
MOV_000000229,2025-12-24,PROD_003451,DC,DC_SEV,OUT,sale,ORD_00000014,-1,414
MOV_000000230,2025-12-24,PROD_002604,DC,DC_SEV,OUT,sale,ORD_00000014,-2,341
MOV_000000231,2025-12-24,PROD_001675,DC,DC_SEV,OUT,sale,ORD_00000014,-2,72
MOV_000000232,2025-12-24,PROD_002961,DC,DC_SEV,OUT,sale,ORD_00000014,-3,329
MOV_000000233,2025-12-24,PROD_000806,DC,DC_SEV,OUT,sale,ORD_00000014,-1,297
MOV_000000234,2025-12-24,PROD_001981,DC,DC_SEV,OUT,sale,ORD_00000014,-1,330
MOV_000000235,2025-12-24,PROD_003448,DC,DC_SEV,OUT,sale,ORD_00000014,-3,320
MOV_000000236,2025-12-24,PROD_001604,DC,DC_SEV,OUT,sale,ORD_00000014,-2,244
MOV_000000237,2025-12-24,PROD_002008,DC,DC_SEV,OUT,sale,ORD_00000014,-2,234
MOV_000000238,2025-12-24,PROD_000826,DC,DC_SEV,OUT,sale,ORD_00000014,-2,94
MOV_000000239,2025-12-24,PROD_001392,DC,DC_SEV,OUT,sale,ORD_00000014,-2,154
MOV_000000240,2025-12-24,PROD_000345,STORE,ST_00981,OUT,sale,ORD_00000015,-1,0
MOV_000000241,2025-12-24,PROD_001253,STORE,ST_00981,OUT,sale,ORD_00000015,-3,0
MOV_000000242,2025-12-24,PROD_001917,STORE,ST_00981,OUT,sale,ORD_00000015,-3,5
MOV_000000243,2025-12-24,PROD_002682,STORE,ST_00981,OUT,sale,ORD_00000015,-3,0
MOV_000000244,2025-12-24,PROD_001340,STORE,ST_00981,OUT,sale,ORD_00000015,-2,4
MOV_000000245,2025-12-24,PROD_002175,STORE,ST_00981,OUT,sale,ORD_00000015,-4,0
MOV_000000246,2025-12-24,PROD_003014,STORE,ST_00981,OUT,sale,ORD_00000015,-2,1
MOV_000000247,2025-12-24,PROD_001093,STORE,ST_00981,OUT,sale,ORD_00000015,-2,5
MOV_000000248,2025-12-24,PROD_002314,DC,DC_MAD,OUT,sale,ORD_00000016,-2,340
MOV_000000249,2025-12-24,PROD_000166,DC,DC_MAD,OUT,sale,ORD_00000016,-3,246
MOV_000000250,2025-12-24,PROD_001897,DC,DC_MAD,OUT,sale,ORD_00000016,-1,69
MOV_000000251,2025-12-24,PROD_000342,DC,DC_MAD,OUT,sale,ORD_00000016,-4,421
MOV_000000252,2025-12-24,PROD_001341,DC,DC_MAD,OUT,sale,ORD_00000016,-1,286
MOV_000000253,2025-12-24,PROD_000610,DC,DC_MAD,OUT,sale,ORD_00000016,-6,506
MOV_000000254,2025-12-24,PROD_002983,DC,DC_MAD,OUT,sale,ORD_00000016,-1,554
MOV_000000255,2025-12-24,PROD_001472,DC,DC_MAD,OUT,sale,ORD_00000016,-3,286
MOV_000000256,2025-12-24,PROD_001289,DC,DC_MAD,OUT,sale,ORD_00000016,-1,503
MOV_000000257,2025-12-24,PROD_003490,DC,DC_MAD,OUT,sale,ORD_00000016,-4,140
MOV_000000258,2025-12-24,PROD_001459,DC,DC_MAD,OUT,sale,ORD_00000016,-1,145
MOV_000000259,2025-12-24,PROD_000085,DC,DC_MAD,OUT,sale,ORD_00000017,-1,459
MOV_000000260,2025-12-24,PROD_000293,DC,DC_MAD,OUT,sale,ORD_00000017,-1,398
MOV_000000261,2025-12-24,PROD_000499,DC,DC_MAD,OUT,sale,ORD_00000017,-2,177
MOV_000000262,2025-12-24,PROD_001487,DC,DC_MAD,OUT,sale,ORD_00000017,-1,269
MOV_000000263,2025-12-24,PROD_001888,DC,DC_MAD,OUT,sale,ORD_00000017,-2,297
MOV_000000264,2025-12-24,PROD_001394,DC,DC_BCN,OUT,sale,ORD_00000018,-2,84
MOV_000000265,2025-12-24,PROD_000855,DC,DC_BCN,OUT,sale,ORD_00000018,-1,228
MOV_000000266,2025-12-24,PROD_001749,DC,DC_BCN,OUT,sale,ORD_00000018,-3,213
